ds,district,y,price_ghs_per_sqm,price_usd_per_sqm
2010-01-01,Spintex Road,29.3,1330,930
2010-02-01,Spintex Road,30.07,1365,955
2010-03-01,Spintex Road,29.64,1346,941
2010-04-01,Spintex Road,30.09,1366,955
2010-05-01,Spintex Road,29.83,1355,947
2010-06-01,Spintex Road,30.9,1403,981
2010-07-01,Spintex Road,30.86,1401,980
2010-08-01,Spintex Road,31.66,1438,1000
2010-09-01,Spintex Road,31.95,1451,1004
2010-10-01,Spintex Road,32.12,1459,1004
2010-11-01,Spintex Road,32.42,1472,1008
2010-12-01,Spintex Road,32.55,1478,1007
2011-01-01,Spintex Road,32.32,1468,995
2011-02-01,Spintex Road,32.7,1485,1001
2011-03-01,Spintex Road,34.73,1577,1058
2011-04-01,Spintex Road,34.98,1588,1060
2011-05-01,Spintex Road,36.59,1661,1103
2011-06-01,Spintex Road,37.06,1683,1112
2011-07-01,Spintex Road,37.45,1700,1118
2011-08-01,Spintex Road,38.67,1756,1135
2011-09-01,Spintex Road,39.19,1780,1132
2011-10-01,Spintex Road,39.27,1783,1116
2011-11-01,Spintex Road,40.06,1819,1121
2011-12-01,Spintex Road,41.26,1873,1137
2012-01-01,Spintex Road,41.61,1889,1129
2012-02-01,Spintex Road,43.6,1980,1165
2012-03-01,Spintex Road,43.98,1997,1159
2012-04-01,Spintex Road,45.91,2085,1192
2012-05-01,Spintex Road,48.2,2188,1233
2012-06-01,Spintex Road,49.25,2236,1242
2012-07-01,Spintex Road,50.59,2297,1259
2012-08-01,Spintex Road,51.82,2353,1280
2012-09-01,Spintex Road,52.57,2387,1289
2012-10-01,Spintex Road,52.65,2390,1282
2012-11-01,Spintex Road,53.88,2447,1303
2012-12-01,Spintex Road,54.13,2458,1300
2013-01-01,Spintex Road,54.01,2452,1288
2013-02-01,Spintex Road,55.32,2512,1310
2013-03-01,Spintex Road,57.93,2630,1363
2013-04-01,Spintex Road,58.53,2658,1368
2013-05-01,Spintex Road,61.48,2792,1428
2013-06-01,Spintex Road,61.94,2812,1429
2013-07-01,Spintex Road,65.02,2952,1490
2013-08-01,Spintex Road,67.03,3043,1478
2013-09-01,Spintex Road,67.51,3065,1435
2013-10-01,Spintex Road,68.56,3113,1407
2013-11-01,Spintex Road,69.85,3171,1385
2013-12-01,Spintex Road,72.75,3303,1397
2014-01-01,Spintex Road,72.45,3290,1347
2014-02-01,Spintex Road,73.32,3329,1321
2014-03-01,Spintex Road,75.61,3433,1325
2014-04-01,Spintex Road,79.74,3620,1357
2014-05-01,Spintex Road,81.23,3688,1344
2014-06-01,Spintex Road,84.07,3817,1353
2014-07-01,Spintex Road,85.43,3879,1339
2014-08-01,Spintex Road,87.67,3980,1342
2014-09-01,Spintex Road,89.45,4061,1338
2014-10-01,Spintex Road,89.99,4086,1317
2014-11-01,Spintex Road,89.92,4083,1287
2014-12-01,Spintex Road,91.02,4133,1276
2015-01-01,Spintex Road,91.84,4170,1260
2015-02-01,Spintex Road,92.14,4183,1238
2015-03-01,Spintex Road,95.86,4353,1265
2015-04-01,Spintex Road,98.49,4472,1274
2015-05-01,Spintex Road,99.82,4532,1267
2015-06-01,Spintex Road,102.14,4638,1271
2015-07-01,Spintex Road,103.97,4720,1271
2015-08-01,Spintex Road,104.46,4743,1271
2015-09-01,Spintex Road,104.36,4738,1264
2015-10-01,Spintex Road,103.7,4708,1251
2015-11-01,Spintex Road,102.24,4642,1228
2015-12-01,Spintex Road,100.98,4585,1208
2016-01-01,Spintex Road,100.86,4579,1201
2016-02-01,Spintex Road,101.38,4603,1202
2016-03-01,Spintex Road,99.9,4536,1180
2016-04-01,Spintex Road,103.47,4698,1217
2016-05-01,Spintex Road,101.91,4627,1193
2016-06-01,Spintex Road,104.05,4724,1213
2016-07-01,Spintex Road,105.08,4771,1220
2016-08-01,Spintex Road,107.34,4874,1235
2016-09-01,Spintex Road,108.22,4914,1233
2016-10-01,Spintex Road,107.44,4878,1213
2016-11-01,Spintex Road,105.81,4804,1184
2016-12-01,Spintex Road,107.01,4859,1187
2017-01-01,Spintex Road,107.38,4876,1180
2017-02-01,Spintex Road,109.24,4960,1190
2017-03-01,Spintex Road,109.76,4984,1186
2017-04-01,Spintex Road,111.87,5079,1198
2017-05-01,Spintex Road,115.28,5234,1224
2017-06-01,Spintex Road,117.68,5343,1238
2017-07-01,Spintex Road,119.15,5410,1244
2017-08-01,Spintex Road,118.71,5390,1233
2017-09-01,Spintex Road,117.75,5346,1218
2017-10-01,Spintex Road,118.08,5361,1216
2017-11-01,Spintex Road,115.75,5256,1186
2017-12-01,Spintex Road,112.66,5115,1150
2018-01-01,Spintex Road,112.68,5116,1145
2018-02-01,Spintex Road,112.17,5093,1135
2018-03-01,Spintex Road,114.98,5220,1158
2018-04-01,Spintex Road,114.89,5216,1152
2018-05-01,Spintex Road,116.41,5286,1163
2018-06-01,Spintex Road,119.25,5414,1186
2018-07-01,Spintex Road,117.29,5325,1161
2018-08-01,Spintex Road,119.17,5411,1166
2018-09-01,Spintex Road,122.67,5570,1187
2018-10-01,Spintex Road,119.42,5422,1143
2018-11-01,Spintex Road,120.66,5479,1142
2018-12-01,Spintex Road,120.54,5473,1128
2019-01-01,Spintex Road,122.98,5584,1139
2019-02-01,Spintex Road,125.27,5688,1147
2019-03-01,Spintex Road,126.11,5726,1144
2019-04-01,Spintex Road,128.68,5843,1155
2019-05-01,Spintex Road,131.99,5993,1172
2019-06-01,Spintex Road,134.75,6118,1184
2019-07-01,Spintex Road,134.73,6117,1172
2019-08-01,Spintex Road,134.36,6101,1162
2019-09-01,Spintex Road,135.45,6150,1164
2019-10-01,Spintex Road,135.6,6157,1159
2019-11-01,Spintex Road,131.46,5969,1117
2019-12-01,Spintex Road,132.03,5995,1115
2020-01-01,Spintex Road,131.76,5982,1106
2020-02-01,Spintex Road,131.67,5978,1099
2020-03-01,Spintex Road,131.04,5950,1088
2020-04-01,Spintex Road,130.67,5933,1078
2020-05-01,Spintex Road,132.36,6010,1086
2020-06-01,Spintex Road,135.22,6139,1103
2020-07-01,Spintex Road,138.56,6291,1124
2020-08-01,Spintex Road,141.15,6409,1142
2020-09-01,Spintex Road,140.05,6359,1129
2020-10-01,Spintex Road,140.33,6372,1128
2020-11-01,Spintex Road,138.16,6273,1107
2020-12-01,Spintex Road,137.83,6258,1101
2021-01-01,Spintex Road,139.17,6319,1108
2021-02-01,Spintex Road,138.55,6291,1100
2021-03-01,Spintex Road,138.96,6309,1100
2021-04-01,Spintex Road,145.0,6584,1144
2021-05-01,Spintex Road,149.49,6788,1176
2021-06-01,Spintex Road,149.85,6804,1175
2021-07-01,Spintex Road,152.46,6922,1192
2021-08-01,Spintex Road,158.64,7203,1197
2021-09-01,Spintex Road,160.92,7306,1174
2021-10-01,Spintex Road,163.56,7426,1155
2021-11-01,Spintex Road,165.73,7525,1134
2021-12-01,Spintex Road,168.88,7668,1121
2022-01-01,Spintex Road,173.96,7899,1120
2022-02-01,Spintex Road,180.12,8178,1127
2022-03-01,Spintex Road,184.37,8371,1124
2022-04-01,Spintex Road,189.55,8606,1124
2022-05-01,Spintex Road,198.91,9031,1149
2022-06-01,Spintex Road,200.61,9108,1129
2022-07-01,Spintex Road,206.18,9362,1132
2022-08-01,Spintex Road,215.51,9785,1150
2022-09-01,Spintex Road,219.13,9949,1138
2022-10-01,Spintex Road,226.13,10267,1145
2022-11-01,Spintex Road,227.16,10314,1121
2022-12-01,Spintex Road,238.05,10808,1147
2023-01-01,Spintex Road,243.14,11040,1143
2023-02-01,Spintex Road,255.13,11584,1171
2023-03-01,Spintex Road,262.94,11939,1182
2023-04-01,Spintex Road,271.96,12348,1195
2023-05-01,Spintex Road,289.75,13156,1246
2023-06-01,Spintex Road,298.61,13558,1256
2023-07-01,Spintex Road,306.31,13908,1262
2023-08-01,Spintex Road,322.01,14620,1295
2023-09-01,Spintex Road,330.02,14984,1297
2023-10-01,Spintex Road,335.15,15217,1288
2023-11-01,Spintex Road,341.89,15523,1285
2023-12-01,Spintex Road,350.17,15899,1288
2024-01-01,Spintex Road,360.54,16370,1298
2024-02-01,Spintex Road,367.31,16677,1295
2024-03-01,Spintex Road,377.29,17130,1305
2024-04-01,Spintex Road,401.01,18207,1359
2024-05-01,Spintex Road,417.4,18951,1388
2024-06-01,Spintex Road,435.79,19787,1421
2024-07-01,Spintex Road,439.25,19944,1406
2024-08-01,Spintex Road,446.28,20263,1429
2024-09-01,Spintex Road,442.73,20101,1417
2024-10-01,Spintex Road,443.56,20139,1420
2024-11-01,Spintex Road,434.1,19710,1390
2024-12-01,Spintex Road,429.08,19482,1374
2010-01-01,Adenta,29.93,1194,835
2010-02-01,Adenta,30.17,1204,842
2010-03-01,Adenta,30.55,1219,852
2010-04-01,Adenta,30.78,1228,859
2010-05-01,Adenta,31.48,1256,878
2010-06-01,Adenta,31.3,1249,873
2010-07-01,Adenta,31.65,1263,883
2010-08-01,Adenta,31.87,1272,885
2010-09-01,Adenta,32.35,1291,893
2010-10-01,Adenta,32.36,1291,889
2010-11-01,Adenta,32.46,1295,887
2010-12-01,Adenta,33.27,1328,905
2011-01-01,Adenta,33.4,1333,903
2011-02-01,Adenta,33.51,1337,902
2011-03-01,Adenta,33.91,1353,908
2011-04-01,Adenta,35.49,1416,945
2011-05-01,Adenta,36.57,1459,969
2011-06-01,Adenta,37.86,1511,999
2011-07-01,Adenta,38.65,1542,1014
2011-08-01,Adenta,38.91,1553,1004
2011-09-01,Adenta,40.38,1611,1025
2011-10-01,Adenta,40.86,1631,1021
2011-11-01,Adenta,41.5,1656,1020
2011-12-01,Adenta,41.56,1658,1006
2012-01-01,Adenta,42.92,1713,1023
2012-02-01,Adenta,43.45,1734,1020
2012-03-01,Adenta,44.76,1786,1037
2012-04-01,Adenta,46.17,1842,1053
2012-05-01,Adenta,48.22,1924,1085
2012-06-01,Adenta,49.18,1963,1090
2012-07-01,Adenta,51.41,2051,1124
2012-08-01,Adenta,52.8,2107,1146
2012-09-01,Adenta,53.21,2123,1147
2012-10-01,Adenta,53.31,2127,1141
2012-11-01,Adenta,54.41,2171,1156
2012-12-01,Adenta,53.79,2147,1135
2013-01-01,Adenta,56.07,2238,1175
2013-02-01,Adenta,56.12,2239,1168
2013-03-01,Adenta,57.86,2309,1197
2013-04-01,Adenta,59.33,2368,1219
2013-05-01,Adenta,61.6,2458,1257
2013-06-01,Adenta,63.54,2536,1288
2013-07-01,Adenta,65.38,2609,1317
2013-08-01,Adenta,66.64,2659,1292
2013-09-01,Adenta,68.59,2737,1281
2013-10-01,Adenta,67.97,2712,1226
2013-11-01,Adenta,69.49,2773,1211
2013-12-01,Adenta,71.28,2845,1203
2014-01-01,Adenta,73.24,2923,1196
2014-02-01,Adenta,74.27,2964,1176
2014-03-01,Adenta,76.15,3039,1173
2014-04-01,Adenta,78.55,3135,1175
2014-05-01,Adenta,81.99,3272,1193
2014-06-01,Adenta,83.05,3314,1175
2014-07-01,Adenta,87.63,3497,1207
2014-08-01,Adenta,87.89,3507,1182
2014-09-01,Adenta,89.81,3584,1181
2014-10-01,Adenta,88.99,3551,1145
2014-11-01,Adenta,89.49,3571,1126
2014-12-01,Adenta,91.93,3669,1132
2015-01-01,Adenta,89.75,3581,1082
2015-02-01,Adenta,93.98,3750,1110
2015-03-01,Adenta,95.1,3795,1103
2015-04-01,Adenta,97.05,3873,1103
2015-05-01,Adenta,101.03,4032,1127
2015-06-01,Adenta,102.53,4092,1122
2015-07-01,Adenta,104.27,4161,1120
2015-08-01,Adenta,105.44,4208,1128
2015-09-01,Adenta,106.88,4265,1138
2015-10-01,Adenta,102.92,4107,1091
2015-11-01,Adenta,100.55,4013,1061
2015-12-01,Adenta,100.5,4010,1056
2016-01-01,Adenta,99.76,3981,1044
2016-02-01,Adenta,99.81,3983,1040
2016-03-01,Adenta,99.88,3986,1037
2016-04-01,Adenta,100.87,4025,1042
2016-05-01,Adenta,104.1,4154,1071
2016-06-01,Adenta,103.71,4139,1063
2016-07-01,Adenta,104.38,4165,1065
2016-08-01,Adenta,105.77,4221,1069
2016-09-01,Adenta,106.0,4230,1062
2016-10-01,Adenta,104.67,4177,1039
2016-11-01,Adenta,104.06,4153,1023
2016-12-01,Adenta,104.5,4170,1018
2017-01-01,Adenta,107.97,4309,1043
2017-02-01,Adenta,105.16,4196,1006
2017-03-01,Adenta,107.99,4309,1025
2017-04-01,Adenta,110.49,4409,1040
2017-05-01,Adenta,111.52,4450,1041
2017-06-01,Adenta,112.35,4484,1039
2017-07-01,Adenta,115.64,4615,1061
2017-08-01,Adenta,118.32,4722,1080
2017-09-01,Adenta,117.71,4697,1070
2017-10-01,Adenta,114.49,4569,1036
2017-11-01,Adenta,115.17,4596,1038
2017-12-01,Adenta,111.62,4454,1001
2018-01-01,Adenta,111.27,4440,994
2018-02-01,Adenta,112.86,4504,1003
2018-03-01,Adenta,110.46,4408,978
2018-04-01,Adenta,114.03,4551,1005
2018-05-01,Adenta,112.7,4498,989
2018-06-01,Adenta,113.86,4544,995
2018-07-01,Adenta,116.79,4660,1016
2018-08-01,Adenta,118.21,4717,1017
2018-09-01,Adenta,116.17,4636,988
2018-10-01,Adenta,119.45,4767,1005
2018-11-01,Adenta,118.64,4735,987
2018-12-01,Adenta,117.75,4699,969
2019-01-01,Adenta,117.45,4687,956
2019-02-01,Adenta,121.16,4835,975
2019-03-01,Adenta,123.71,4937,986
2019-04-01,Adenta,124.72,4977,984
2019-05-01,Adenta,127.05,5070,992
2019-06-01,Adenta,130.01,5188,1004
2019-07-01,Adenta,131.03,5229,1002
2019-08-01,Adenta,135.05,5389,1027
2019-09-01,Adenta,129.4,5164,978
2019-10-01,Adenta,128.51,5128,965
2019-11-01,Adenta,130.45,5206,974
2019-12-01,Adenta,126.41,5044,938
2020-01-01,Adenta,126.33,5041,932
2020-02-01,Adenta,128.81,5140,945
2020-03-01,Adenta,127.26,5078,928
2020-04-01,Adenta,131.25,5237,952
2020-05-01,Adenta,132.33,5281,954
2020-06-01,Adenta,132.84,5301,953
2020-07-01,Adenta,132.79,5299,947
2020-08-01,Adenta,135.13,5392,961
2020-09-01,Adenta,131.27,5239,930
2020-10-01,Adenta,132.75,5297,938
2020-11-01,Adenta,134.86,5382,950
2020-12-01,Adenta,131.26,5238,922
2021-01-01,Adenta,131.22,5236,918
2021-02-01,Adenta,135.34,5401,944
2021-03-01,Adenta,136.83,5460,952
2021-04-01,Adenta,140.22,5595,973
2021-05-01,Adenta,145.29,5798,1005
2021-06-01,Adenta,142.21,5675,980
2021-07-01,Adenta,146.32,5839,1006
2021-08-01,Adenta,152.15,6072,1009
2021-09-01,Adenta,157.05,6267,1007
2021-10-01,Adenta,156.8,6257,973
2021-11-01,Adenta,158.49,6325,953
2021-12-01,Adenta,160.7,6413,938
2022-01-01,Adenta,162.06,6467,917
2022-02-01,Adenta,170.55,6806,938
2022-03-01,Adenta,176.36,7038,945
2022-04-01,Adenta,180.88,7218,943
2022-05-01,Adenta,186.29,7434,946
2022-06-01,Adenta,190.85,7616,944
2022-07-01,Adenta,193.66,7728,934
2022-08-01,Adenta,203.03,8102,953
2022-09-01,Adenta,212.86,8495,972
2022-10-01,Adenta,216.56,8642,964
2022-11-01,Adenta,218.17,8706,946
2022-12-01,Adenta,227.84,9092,965
2023-01-01,Adenta,236.48,9437,977
2023-02-01,Adenta,244.47,9756,986
2023-03-01,Adenta,245.14,9782,968
2023-04-01,Adenta,267.06,10657,1031
2023-05-01,Adenta,278.22,11103,1051
2023-06-01,Adenta,288.39,11509,1066
2023-07-01,Adenta,295.69,11800,1071
2023-08-01,Adenta,305.38,12187,1080
2023-09-01,Adenta,320.95,12808,1108
2023-10-01,Adenta,319.17,12737,1078
2023-11-01,Adenta,324.64,12955,1072
2023-12-01,Adenta,328.17,13096,1061
2024-01-01,Adenta,339.24,13538,1074
2024-02-01,Adenta,350.52,13988,1086
2024-03-01,Adenta,366.94,14643,1115
2024-04-01,Adenta,375.13,14970,1117
2024-05-01,Adenta,391.87,15638,1145
2024-06-01,Adenta,414.37,16536,1188
2024-07-01,Adenta,423.48,16899,1192
2024-08-01,Adenta,417.88,16676,1176
2024-09-01,Adenta,411.59,16425,1158
2024-10-01,Adenta,420.31,16773,1183
2024-11-01,Adenta,406.31,16214,1143
2024-12-01,Adenta,398.14,15888,1120
2010-01-01,Tema,30.76,1025,717
2010-02-01,Tema,30.88,1030,720
2010-03-01,Tema,31.43,1048,733
2010-04-01,Tema,31.2,1040,727
2010-05-01,Tema,31.73,1058,740
2010-06-01,Tema,31.74,1058,740
2010-07-01,Tema,31.9,1064,744
2010-08-01,Tema,32.79,1093,760
2010-09-01,Tema,32.63,1088,753
2010-10-01,Tema,33.98,1133,780
2010-11-01,Tema,33.86,1129,773
2010-12-01,Tema,33.62,1121,763
2011-01-01,Tema,33.67,1123,761
2011-02-01,Tema,34.39,1147,773
2011-03-01,Tema,34.86,1162,780
2011-04-01,Tema,35.95,1198,800
2011-05-01,Tema,37.26,1242,825
2011-06-01,Tema,37.85,1262,834
2011-07-01,Tema,37.73,1258,827
2011-08-01,Tema,40.04,1335,863
2011-09-01,Tema,41.22,1374,874
2011-10-01,Tema,41.0,1367,856
2011-11-01,Tema,41.76,1392,858
2011-12-01,Tema,41.96,1399,849
2012-01-01,Tema,43.35,1445,864
2012-02-01,Tema,43.4,1447,851
2012-03-01,Tema,45.49,1517,880
2012-04-01,Tema,48.14,1605,918
2012-05-01,Tema,49.3,1643,926
2012-06-01,Tema,49.99,1666,926
2012-07-01,Tema,51.03,1701,932
2012-08-01,Tema,53.01,1767,961
2012-09-01,Tema,54.21,1807,976
2012-10-01,Tema,54.04,1801,966
2012-11-01,Tema,54.99,1833,976
2012-12-01,Tema,54.54,1818,962
