horizon,mse,rmse,mae,mape,mdape,smape,coverage
52 days,307.9445406148887,17.548348657776568,5.904059751678279,0.05602069383324465,0.015408601826917251,0.04523955574366206,0.19047619047619047
53 days,307.9507331813947,17.548525099887872,5.912826444638766,0.05610364676676546,0.015408601826917251,0.045321743284311586,0.14285714285714285
54 days,633.105143185273,25.16158069727085,9.771135870787148,0.09427871551427204,0.015631959084075206,0.07212011590399944,0.19047619047619047
55 days,633.0582345462911,25.16064853190973,9.751693033971476,0.09394362022137971,0.015408601826917251,0.07179256002062004,0.23809523809523808
56 days,334.9794509847881,18.30244385279704,6.143694744231365,0.05735540462509921,0.015408601826917251,0.046019100107256176,0.23809523809523808
57 days,334.5394172370562,18.290418727767175,6.001192321163278,0.05605970714794208,0.015408601826917251,0.044730868393871505,0.3333333333333333
58 days,335.0342774521203,18.303941582405695,6.0789249754960135,0.05661095454893078,0.015408601826917251,0.04526317728023822,0.3333333333333333
59 days,335.4575970499062,18.315501550596593,6.188426457484051,0.057387137919666834,0.016077806215554047,0.04603065970939642,0.3333333333333333
60 days,339.07044509012775,18.41386556620113,6.5786086086405335,0.0598517795603,0.019378438296371144,0.04857325176974113,0.2857142857142857
61 days,340.1454801478499,18.443033377073576,6.730447000512643,0.060932185674501704,0.01972148456640269,0.04970227441868956,0.2619047619047619
62 days,342.0995812861715,18.49593418257568,6.953479414617711,0.06204609296016263,0.01972148456640269,0.05078614817647039,0.23809523809523808
80 days,337.90201943057474,18.38211139751293,6.547954176875677,0.059599777541805996,0.019378438296371144,0.04823791668794055,0.23809523809523808
81 days,335.73205730669133,18.322992586002194,6.217922596276968,0.05871132867963321,0.016077806215554047,0.04729315297378047,0.2857142857142857
82 days,335.9529163230743,18.32901842224712,6.275790717883868,0.05913603551708092,0.016077806215554047,0.04774605381931049,0.2857142857142857
83 days,813.3462773020891,28.51922644992478,11.016735488007104,0.10581818235085638,0.020871800296636187,0.07880734354464881,0.2857142857142857
84 days,813.7587717424567,28.526457399096312,11.106970604221116,0.10653072400290578,0.02446232268187704,0.07949890204292312,0.2857142857142857
85 days,651.1401921507661,25.517448778253012,9.146006966823922,0.08700733838518267,0.02446232268187704,0.06566520531461682,0.35714285714285715
86 days,488.96986605937536,22.11266302504914,7.291115803846578,0.06835949000724927,0.02446232268187704,0.052688532432524825,0.3333333333333333
87 days,488.6610918526135,22.10568008120568,7.211855463781805,0.06762758593828433,0.02446232268187704,0.05196396450968464,0.38095238095238093
88 days,489.11143479007893,22.115863871666395,7.338598838081734,0.06840839106495751,0.023530228626035384,0.05274959852373435,0.3333333333333333
89 days,490.91248106375633,22.156544880999753,7.608153156392179,0.07036305280737103,0.02446232268187704,0.05475603196459512,0.2857142857142857
90 days,493.45425149781016,22.213830185220427,7.825296361562793,0.07106677639415247,0.02446232268187704,0.05545128290802107,0.2619047619047619
91 days,493.67609982904963,22.218823097298596,7.876197481099958,0.0712589409784452,0.023530228626035384,0.055659702703669336,0.23809523809523808
111 days,490.2016608319822,22.14049820649893,7.50443417575065,0.0709448732469819,0.022018318403555462,0.05507509325231222,0.23809523809523808
112 days,488.6090901080615,22.104503842159893,7.3607332410498865,0.07091358647443442,0.022018318403555462,0.05513115099471498,0.23809523809523808
113 days,488.4185849277462,22.100194228281033,7.336282279670498,0.07027773678928292,0.022018318403555462,0.05452753133499684,0.21428571428571427
114 days,1017.7320314622501,31.901912661504326,12.270101513798528,0.11786554577950352,0.022018318403555462,0.08558721584665595,0.19047619047619047
115 days,779.2685156575781,27.915381345372626,9.954708809320456,0.0946537483516645,0.022018318403555462,0.07013739646368114,0.19047619047619047
116 days,539.998025488258,23.23785759247737,7.40184728650247,0.06947380321599084,0.019806113894378616,0.05278664002283649,0.2857142857142857
117 days,540.500625265563,23.248669322470114,7.55196865584944,0.07064976219549907,0.020440174967970667,0.05394779739547122,0.23809523809523808
118 days,541.3904691420909,23.267798975023204,7.700718806217299,0.07174897279819553,0.022018318403555462,0.0550894409017033,0.21428571428571427
119 days,541.306319634695,23.265990622251504,7.705376594521831,0.07173457704984192,0.020440174967970667,0.05507834055096573,0.19047619047619047
120 days,544.7415510462888,23.339699035040894,8.063461209090468,0.07422321198914267,0.022018318403555462,0.057671150727889246,0.14285714285714285
121 days,546.1016299116469,23.368817469261188,8.104743643289495,0.07366396843996559,0.020440174967970667,0.05700707760856302,0.19047619047619047
141 days,544.3210958001039,23.330689998371327,7.8986620077484915,0.07273964855640898,0.019806113894378616,0.056100786298137986,0.19047619047619047
142 days,544.9229838612895,23.343585497118678,7.939633131780776,0.07615298966960557,0.019806113894378616,0.05927794060849467,0.19047619047619047
143 days,544.916385788713,23.343444171516616,7.980078843674358,0.07614900765181634,0.022531594554712785,0.0593998316118989,0.19047619047619047
144 days,1194.3371455238203,34.55918322998708,13.36679080813676,0.12771707651612868,0.022531594554712785,0.09143830091538725,0.19047619047619047
145 days,1194.290517027148,34.55850860536589,13.37500305704709,0.1275584091134832,0.022531594554712785,0.0912450089117063,0.19047619047619047
146 days,665.068263224616,25.788917449645226,8.48966623048499,0.07994609665994824,0.022531594554712785,0.06017417911018017,0.19047619047619047
147 days,665.5951836870177,25.79913145218299,8.541636225838792,0.08010776273052744,0.022531594554712785,0.06032581588000229,0.19047619047619047
