ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,406.52,402.74,410.21,170.77
2025-02-01,411.73,408.01,415.46,171.5
2025-03-01,416.47,412.49,420.5,172.17
2025-04-01,423.84,420.17,427.86,172.9
2025-05-01,430.22,426.38,434.43,173.61
2025-06-01,436.32,432.37,440.17,174.35
2025-07-01,444.09,439.93,448.59,175.06
2025-08-01,450.84,446.9,455.24,175.8
2025-09-01,456.56,452.45,461.36,176.53
2025-10-01,459.76,455.37,464.45,177.24
2025-11-01,463.78,459.43,468.47,177.98
2025-12-01,467.46,462.94,472.88,178.69
2026-01-01,473.93,469.43,478.81,179.42
2026-02-01,480.77,475.98,486.08,180.16
2026-03-01,487.57,482.41,493.56,180.82
2026-04-01,495.64,490.8,501.86,181.56
2026-05-01,503.53,498.08,510.22,182.27
2026-06-01,510.94,504.9,518.78,183.0
2026-07-01,520.4,513.46,529.3,183.72
2026-08-01,527.45,520.36,537.24,184.45
2026-09-01,534.58,525.33,546.7,185.19
2026-10-01,539.26,527.84,555.37,185.9
2026-11-01,545.5,533.55,563.4,186.63
2026-12-01,550.6,537.25,572.2,187.34
2027-01-01,556.57,540.33,578.18,188.08
2027-02-01,565.39,547.77,590.3,188.81
2027-03-01,574.62,552.43,603.65,189.48
2027-04-01,583.63,561.08,615.72,190.21
2027-05-01,593.34,568.72,627.77,190.92
2027-06-01,602.36,574.32,640.89,191.66
2027-07-01,613.84,583.55,654.18,192.37
2027-08-01,621.4,587.48,668.49,193.11
2027-09-01,630.3,595.47,679.57,193.84
2027-10-01,636.83,597.83,689.48,194.55
2027-11-01,645.69,603.43,701.16,195.29
2027-12-01,652.53,606.47,712.92,196.0
2028-01-01,658.14,611.61,716.68,196.73
2028-02-01,669.4,616.59,732.87,197.47
2028-03-01,679.59,623.48,747.34,198.16
2028-04-01,692.44,629.58,765.8,198.89
2028-05-01,703.31,637.02,779.97,199.6
2028-06-01,714.16,644.74,796.17,200.34
2028-07-01,726.64,649.69,811.1,201.05
2028-08-01,739.56,657.08,829.55,201.78
2028-09-01,750.13,667.49,843.31,202.52
2028-10-01,757.69,667.95,859.4,203.23
2028-11-01,765.53,672.66,875.49,203.96
2028-12-01,773.84,678.26,885.63,204.68
2029-01-01,787.82,689.11,910.42,205.41
2029-02-01,799.63,694.66,926.99,206.15
2029-03-01,810.9,701.89,949.51,206.81
2029-04-01,825.51,708.82,970.01,207.55
2029-05-01,839.01,716.25,983.91,208.26
2029-06-01,852.31,725.89,1005.73,208.99
2029-07-01,867.69,727.3,1025.83,209.7
2029-08-01,881.98,733.46,1049.39,210.44
2029-09-01,895.15,743.54,1069.33,211.17
2029-10-01,905.41,749.74,1086.59,211.88
2029-11-01,916.79,753.67,1102.92,212.62
2029-12-01,927.85,759.85,1120.57,213.33
