ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,445.07,441.21,448.87,170.77
2025-02-01,452.31,448.5,456.32,171.5
2025-03-01,459.14,454.99,463.04,172.17
2025-04-01,468.72,464.93,472.74,172.9
2025-05-01,477.39,473.59,481.51,173.61
2025-06-01,485.88,481.55,490.16,174.35
2025-07-01,496.13,491.94,500.49,175.06
2025-08-01,505.48,501.42,510.09,175.8
2025-09-01,513.89,509.71,518.45,176.53
2025-10-01,519.89,515.49,524.54,177.24
2025-11-01,526.84,522.45,532.07,177.98
2025-12-01,533.53,528.95,538.99,178.69
2026-01-01,543.17,538.21,548.66,179.42
2026-02-01,553.28,548.4,560.06,180.16
2026-03-01,563.46,558.13,571.33,180.82
2026-04-01,575.07,569.01,583.93,181.56
2026-05-01,586.62,579.09,597.26,182.27
2026-06-01,597.85,590.26,611.24,183.0
2026-07-01,611.26,602.78,626.72,183.72
2026-08-01,622.42,611.97,641.51,184.45
2026-09-01,633.82,620.86,654.58,185.19
2026-10-01,642.92,629.49,668.29,185.9
2026-11-01,653.75,639.71,680.48,186.63
2026-12-01,663.59,645.13,695.35,187.34
2027-01-01,674.49,655.73,710.1,188.08
2027-02-01,688.44,664.74,728.18,188.81
2027-03-01,702.92,675.46,745.93,189.48
2027-04-01,717.43,686.5,765.14,190.21
2027-05-01,732.82,698.67,784.31,190.92
2027-06-01,747.73,708.66,802.45,191.66
2027-07-01,765.31,723.28,825.49,192.37
2027-08-01,779.2,734.34,840.63,193.11
2027-09-01,794.65,744.88,859.24,193.84
2027-10-01,807.95,754.09,875.46,194.55
2027-11-01,823.83,765.62,897.56,195.29
2027-12-01,837.92,779.58,917.48,196.0
2028-01-01,851.05,788.46,937.25,196.73
2028-02-01,870.09,800.86,960.78,197.47
2028-03-01,888.28,814.75,984.26,198.16
2028-04-01,909.46,828.44,1009.83,198.89
2028-05-01,928.92,842.05,1034.63,199.6
2028-06-01,948.69,859.39,1061.9,200.34
2028-07-01,970.35,873.82,1086.89,201.05
2028-08-01,992.8,889.52,1114.97,201.78
2028-09-01,1013.22,901.07,1144.53,202.52
2028-10-01,1030.93,913.04,1169.96,203.23
2028-11-01,1049.29,921.03,1198.37,203.96
2028-12-01,1068.44,935.49,1225.61,204.68
2029-01-01,1093.66,951.75,1257.91,205.41
2029-02-01,1117.08,966.98,1288.01,206.15
2029-03-01,1140.23,980.92,1318.1,206.81
2029-04-01,1167.23,999.08,1360.04,207.55
2029-05-01,1193.48,1018.66,1395.56,208.26
2029-06-01,1220.0,1028.65,1432.58,208.99
2029-07-01,1248.98,1043.36,1468.17,209.7
2029-08-01,1277.37,1062.57,1510.75,210.44
2029-09-01,1305.08,1076.38,1548.42,211.17
2029-10-01,1330.31,1090.08,1588.72,211.88
2029-11-01,1357.2,1108.55,1630.11,212.62
2029-12-01,1384.21,1124.06,1679.16,213.33
