ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,383.74,380.21,387.6,170.77
2025-02-01,387.79,383.89,391.35,171.5
2025-03-01,391.32,387.58,395.34,172.17
2025-04-01,397.45,393.58,401.4,172.9
2025-05-01,402.55,398.46,406.7,173.61
2025-06-01,407.33,403.06,411.3,174.35
2025-07-01,413.74,409.32,417.73,175.06
2025-08-01,419.09,414.56,423.2,175.8
2025-09-01,423.35,418.9,427.95,176.53
2025-10-01,425.07,420.44,430.1,177.24
2025-11-01,427.55,422.87,432.51,177.98
2025-12-01,429.65,423.58,434.99,178.69
2026-01-01,434.49,429.35,439.68,179.42
2026-02-01,439.65,433.71,446.6,180.16
2026-03-01,444.73,439.05,452.69,180.82
2026-04-01,451.03,442.25,461.64,181.56
2026-05-01,457.09,449.04,466.83,182.27
2026-06-01,462.61,454.68,473.95,183.0
2026-07-01,470.15,459.32,483.45,183.72
2026-08-01,475.2,462.06,492.29,184.45
2026-09-01,480.28,465.87,497.15,185.19
2026-10-01,482.86,467.31,502.97,185.9
2026-11-01,486.93,471.24,507.37,186.63
2026-12-01,489.81,471.61,510.71,187.34
2027-01-01,493.47,472.21,517.03,188.08
2027-02-01,499.94,476.79,525.99,188.81
2027-03-01,506.77,482.39,535.34,189.48
2027-04-01,513.29,485.49,544.3,190.21
2027-05-01,520.45,491.17,553.15,190.92
2027-06-01,526.85,495.56,563.24,191.66
2027-07-01,535.64,500.25,572.36,192.37
2027-08-01,540.43,503.48,581.73,193.11
2027-09-01,546.48,506.14,588.22,193.84
2027-10-01,550.1,507.59,594.08,194.55
2027-11-01,555.96,511.35,602.36,195.29
2027-12-01,559.72,509.44,610.27,196.0
2028-01-01,562.17,509.11,612.01,196.73
2028-02-01,570.18,516.57,624.64,197.47
2028-03-01,577.06,518.38,634.25,198.16
2028-04-01,586.49,523.12,650.86,198.89
2028-05-01,593.86,526.18,659.8,199.6
2028-06-01,601.12,532.8,669.69,200.34
2028-07-01,609.91,537.3,684.15,201.05
2028-08-01,619.05,539.96,691.69,201.78
2028-09-01,625.73,541.39,705.48,202.52
2028-10-01,629.31,542.25,713.31,203.23
2028-11-01,633.06,542.89,723.53,203.96
2028-12-01,637.19,544.11,728.46,204.68
2029-01-01,646.87,547.42,745.56,205.41
2029-02-01,654.27,551.48,754.49,206.15
2029-03-01,661.08,552.09,765.5,206.81
2029-04-01,671.05,555.67,783.19,207.55
2029-05-01,679.82,557.98,795.51,208.26
2029-06-01,688.25,561.8,805.53,208.99
2029-07-01,698.66,565.85,822.7,209.7
2029-08-01,707.84,568.36,838.01,210.44
2029-09-01,715.77,570.47,850.1,211.17
2029-10-01,720.68,568.9,860.06,211.88
2029-11-01,726.56,570.78,869.81,212.62
2029-12-01,732.0,569.16,877.61,213.33
