ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,402.68,397.41,407.78,179.54
2025-02-01,408.34,403.46,413.62,180.24
2025-03-01,413.75,408.81,418.28,180.87
2025-04-01,419.82,414.8,425.24,181.57
2025-05-01,427.78,422.76,432.94,182.25
2025-06-01,434.98,429.77,440.49,182.95
2025-07-01,441.63,435.96,446.8,183.63
2025-08-01,447.79,442.46,453.37,184.33
2025-09-01,452.44,446.96,457.65,185.03
2025-10-01,458.91,452.76,464.32,185.71
2025-11-01,461.22,455.16,466.9,186.41
2025-12-01,463.62,457.66,469.27,187.09
2026-01-01,472.3,465.66,477.94,187.79
2026-02-01,479.9,472.86,485.78,188.49
2026-03-01,485.85,478.55,492.27,189.12
2026-04-01,495.52,488.18,502.05,189.82
2026-05-01,504.02,495.82,511.19,190.5
2026-06-01,511.35,502.7,518.3,191.2
2026-07-01,518.94,509.79,526.95,191.87
2026-08-01,527.77,517.3,535.7,192.57
2026-09-01,535.67,522.96,543.51,193.27
2026-10-01,540.38,527.44,549.63,193.95
2026-11-01,545.17,530.58,555.04,194.65
2026-12-01,550.13,535.21,561.63,195.33
2027-01-01,558.49,541.89,572.72,196.03
2027-02-01,568.41,551.41,582.8,196.73
2027-03-01,575.19,552.87,592.86,197.36
2027-04-01,588.95,564.07,608.36,198.06
2027-05-01,598.2,571.39,618.63,198.74
2027-06-01,605.87,578.0,628.58,199.44
2027-07-01,614.73,584.29,641.01,200.12
2027-08-01,626.72,593.11,653.99,200.82
2027-09-01,638.32,598.53,667.31,201.52
2027-10-01,641.32,602.01,672.46,202.19
2027-11-01,649.11,606.42,681.64,202.89
2027-12-01,657.06,611.92,692.08,203.57
2028-01-01,665.3,615.97,705.59,204.27
2028-02-01,678.0,623.58,719.73,204.97
2028-03-01,689.54,635.97,734.04,205.63
2028-04-01,698.16,641.32,746.19,206.33
2028-05-01,712.33,647.33,763.62,207.0
2028-06-01,726.26,659.83,780.62,207.7
2028-07-01,738.77,665.79,796.45,208.38
2028-08-01,748.92,673.32,808.43,209.08
2028-09-01,756.69,677.0,822.79,209.78
2028-10-01,772.18,686.6,842.89,210.46
2028-11-01,778.31,689.56,849.77,211.16
2028-12-01,784.52,691.49,863.97,211.84
2029-01-01,801.4,704.18,882.63,212.54
2029-02-01,814.29,711.57,901.35,213.24
2029-03-01,826.91,720.95,922.33,213.87
2029-04-01,840.51,731.74,937.92,214.57
2029-05-01,856.42,741.77,960.44,215.25
2029-06-01,871.59,753.15,979.62,215.95
2029-07-01,886.2,763.28,1000.09,216.62
2029-08-01,900.38,769.9,1017.33,217.32
2029-09-01,912.9,779.24,1035.37,218.02
2029-10-01,927.68,788.73,1053.71,218.7
2029-11-01,937.7,792.54,1075.15,219.4
2029-12-01,947.96,799.41,1092.33,220.08
