ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,392.56,388.46,396.92,171.29
2025-02-01,396.11,391.2,400.6,172.08
2025-03-01,401.84,397.13,406.32,172.79
2025-04-01,409.0,404.73,413.65,173.59
2025-05-01,416.6,411.76,421.51,174.35
2025-06-01,423.67,419.01,428.2,175.15
2025-07-01,429.93,425.41,434.67,175.91
2025-08-01,436.9,432.06,442.11,176.71
2025-09-01,442.77,437.62,447.68,177.5
2025-10-01,447.12,441.94,452.55,178.27
2025-11-01,449.67,444.12,454.8,179.06
2025-12-01,454.04,448.47,459.32,179.83
2026-01-01,460.81,455.16,466.5,180.62
2026-02-01,467.3,461.58,473.5,181.41
2026-03-01,474.1,467.87,481.37,182.13
2026-04-01,483.41,477.11,490.56,182.92
2026-05-01,491.4,484.34,499.42,183.69
2026-06-01,499.45,492.22,507.82,184.48
2026-07-01,508.1,500.66,518.65,185.25
2026-08-01,515.13,507.06,527.24,186.04
2026-09-01,523.69,513.21,535.9,186.83
2026-10-01,529.04,516.25,542.55,187.6
2026-11-01,533.34,519.38,550.04,188.39
2026-12-01,539.03,522.55,557.52,189.16
2027-01-01,545.09,526.83,567.61,189.95
2027-02-01,555.05,532.94,578.32,190.75
2027-03-01,563.18,539.16,588.61,191.46
2027-04-01,575.01,546.82,602.94,192.26
2027-05-01,583.61,551.23,611.58,193.02
2027-06-01,592.93,557.7,624.35,193.82
2027-07-01,604.41,568.55,640.75,194.58
2027-08-01,611.7,568.39,650.82,195.38
2027-09-01,623.45,578.07,667.65,196.17
2027-10-01,630.08,581.83,674.28,196.94
2027-11-01,636.54,587.18,686.46,197.73
2027-12-01,643.86,590.26,695.33,198.5
2028-01-01,649.39,593.73,703.47,199.29
2028-02-01,663.41,603.04,721.89,200.08
2028-03-01,673.12,609.62,739.71,200.82
2028-04-01,684.48,615.25,752.07,201.61
2028-05-01,698.36,625.81,771.98,202.38
2028-06-01,711.12,634.12,790.96,203.17
2028-07-01,721.38,642.2,806.82,203.94
2028-08-01,735.22,647.75,827.72,204.73
2028-09-01,744.9,653.83,844.06,205.53
2028-10-01,754.67,660.24,858.2,206.29
2028-11-01,761.56,658.68,873.06,207.09
2028-12-01,771.2,663.15,886.34,207.85
2029-01-01,786.17,670.19,908.22,208.65
2029-02-01,796.34,677.8,924.63,209.44
2029-03-01,809.19,684.09,948.23,210.16
2029-04-01,823.97,692.98,968.75,210.95
2029-05-01,839.36,705.12,990.08,211.72
2029-06-01,854.24,713.42,1011.74,212.51
2029-07-01,868.24,718.49,1030.94,213.28
2029-08-01,883.25,721.29,1050.02,214.07
2029-09-01,897.03,730.01,1065.9,214.86
2029-10-01,909.08,739.45,1089.78,215.63
2029-11-01,919.1,740.4,1103.58,216.42
2029-12-01,931.43,744.67,1130.88,217.19
