ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,480.82,475.73,485.1,209.59
2025-02-01,488.81,484.27,493.37,210.53
2025-03-01,490.49,486.48,495.22,211.38
2025-04-01,501.5,497.04,505.89,212.32
2025-05-01,508.15,503.61,512.69,213.23
2025-06-01,518.18,513.6,522.89,214.17
2025-07-01,528.15,523.34,532.98,215.08
2025-08-01,533.94,529.33,539.12,216.03
2025-09-01,539.27,534.63,544.11,216.97
2025-10-01,544.87,539.74,549.79,217.88
2025-11-01,551.9,546.62,557.24,218.82
2025-12-01,554.96,549.65,559.9,219.73
2026-01-01,564.42,559.29,569.79,220.67
2026-02-01,573.66,568.38,579.29,221.61
2026-03-01,580.09,574.33,585.92,222.46
2026-04-01,591.08,584.98,597.19,223.4
2026-05-01,599.03,592.77,604.78,224.31
2026-06-01,611.66,605.49,618.41,225.26
2026-07-01,621.29,613.65,627.83,226.17
2026-08-01,629.2,622.59,636.29,227.11
2026-09-01,637.7,630.92,645.16,228.05
2026-10-01,644.81,637.29,653.65,228.96
2026-11-01,654.65,645.33,663.57,229.9
2026-12-01,657.21,647.1,667.23,230.81
2027-01-01,667.84,657.5,679.69,231.75
2027-02-01,678.73,666.85,690.77,232.7
2027-03-01,690.62,677.37,705.08,233.55
2027-04-01,701.75,686.45,716.46,234.49
2027-05-01,711.38,693.89,727.21,235.4
2027-06-01,727.07,706.85,745.95,236.34
2027-07-01,736.58,716.11,755.91,237.25
2027-08-01,747.12,726.05,769.31,238.19
2027-09-01,759.36,734.27,783.36,239.13
2027-10-01,768.38,742.32,793.79,240.04
2027-11-01,781.54,755.68,807.16,240.99
2027-12-01,783.81,755.77,812.79,241.9
2028-01-01,796.03,766.47,827.17,242.84
2028-02-01,809.06,775.78,841.5,243.78
2028-03-01,818.61,785.23,852.1,244.66
2028-04-01,838.17,799.92,875.81,245.6
2028-05-01,851.13,809.55,890.9,246.51
2028-06-01,866.89,826.91,910.46,247.45
2028-07-01,885.91,843.05,933.04,248.36
2028-08-01,897.37,852.99,944.27,249.3
2028-09-01,907.21,857.4,957.95,250.25
2028-10-01,919.25,867.74,973.0,251.16
2028-11-01,931.73,874.51,987.87,252.1
2028-12-01,943.19,883.13,1002.98,253.01
2029-01-01,960.77,896.08,1023.56,253.95
2029-02-01,977.71,912.82,1043.26,254.89
2029-03-01,987.06,918.94,1059.25,255.74
2029-04-01,1007.93,935.19,1081.61,256.68
2029-05-01,1023.63,948.39,1103.07,257.59
2029-06-01,1043.59,967.7,1128.58,258.54
2029-07-01,1063.59,979.31,1151.63,259.45
2029-08-01,1078.71,989.6,1170.66,260.39
2029-09-01,1093.45,1005.0,1188.14,261.33
2029-10-01,1108.62,1017.2,1209.41,262.24
2029-11-01,1125.71,1028.05,1231.33,263.18
2029-12-01,1138.16,1040.08,1250.45,264.09
