ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,428.1,423.6,432.05,190.55
2025-02-01,434.14,429.74,438.38,191.36
2025-03-01,436.18,431.91,440.44,192.09
2025-04-01,443.81,439.58,448.33,192.9
2025-05-01,451.68,447.41,455.92,193.68
2025-06-01,458.58,454.34,462.91,194.49
2025-07-01,463.07,458.49,467.43,195.28
2025-08-01,471.57,466.95,476.07,196.08
2025-09-01,475.71,471.24,480.25,196.89
2025-10-01,481.61,477.12,486.39,197.68
2025-11-01,482.91,477.61,487.65,198.48
2025-12-01,486.94,482.19,492.4,199.27
2026-01-01,494.52,489.51,499.49,200.08
2026-02-01,501.0,495.59,506.82,200.88
2026-03-01,506.74,501.47,512.29,201.61
2026-04-01,514.14,507.78,519.57,202.42
2026-05-01,524.24,517.69,530.18,203.21
2026-06-01,531.2,524.33,537.42,204.02
2026-07-01,537.13,530.23,543.57,204.8
2026-08-01,547.2,538.64,553.9,205.61
2026-09-01,553.39,544.65,561.2,206.42
2026-10-01,559.58,549.38,568.44,207.2
2026-11-01,562.48,551.06,571.58,208.01
2026-12-01,568.86,555.81,578.58,208.79
2027-01-01,576.07,563.37,588.22,209.6
2027-02-01,583.26,569.0,596.67,210.41
2027-03-01,593.24,576.67,608.76,211.14
2027-04-01,600.54,580.92,617.46,211.95
2027-05-01,613.25,592.24,631.65,212.73
2027-06-01,620.45,597.86,640.1,213.54
2027-07-01,628.18,602.35,649.7,214.32
2027-08-01,640.15,612.63,664.66,215.13
2027-09-01,648.78,618.73,673.21,215.94
2027-10-01,655.48,623.38,683.52,216.72
2027-11-01,660.38,624.87,689.09,217.53
2027-12-01,669.51,629.47,700.22,218.31
2028-01-01,676.51,633.87,710.56,219.12
2028-02-01,684.75,640.22,720.57,219.93
2028-03-01,693.9,647.27,732.49,220.69
2028-04-01,708.07,658.54,751.23,221.49
2028-05-01,719.9,666.49,763.15,222.28
2028-06-01,733.07,676.32,779.75,223.09
2028-07-01,741.92,682.86,791.74,223.87
2028-08-01,755.55,691.27,807.63,224.68
2028-09-01,763.51,696.73,819.65,225.49
2028-10-01,775.58,705.41,834.92,226.27
2028-11-01,780.84,706.78,841.77,227.08
2028-12-01,788.6,711.55,853.58,227.86
2029-01-01,803.71,722.84,870.75,228.67
2029-02-01,816.51,731.19,887.12,229.48
2029-03-01,824.55,735.34,898.12,230.21
2029-04-01,839.48,746.95,917.5,231.02
2029-05-01,854.75,761.25,940.81,231.8
2029-06-01,869.0,771.55,959.3,232.61
2029-07-01,880.46,775.59,973.71,233.39
2029-08-01,896.85,789.6,996.46,234.2
2029-09-01,908.15,797.35,1012.65,235.01
2029-10-01,921.63,804.06,1033.2,235.79
2029-11-01,929.77,807.52,1041.95,236.6
2029-12-01,941.28,814.73,1057.08,237.38
