ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,391.92,387.22,396.97,177.36
2025-02-01,395.69,390.6,400.25,177.84
2025-03-01,401.09,396.73,405.73,178.28
2025-04-01,404.95,400.61,409.8,178.76
2025-05-01,412.15,406.97,416.97,179.23
2025-06-01,418.06,413.09,423.25,179.72
2025-07-01,424.45,419.46,429.58,180.18
2025-08-01,429.88,425.27,435.49,180.67
2025-09-01,435.23,429.88,440.53,181.15
2025-10-01,438.65,432.93,444.36,181.62
2025-11-01,441.31,436.07,447.01,182.1
2025-12-01,442.9,437.87,448.76,182.57
2026-01-01,450.76,445.35,456.21,183.05
2026-02-01,455.28,449.55,461.26,183.53
2026-03-01,462.4,456.11,468.97,183.97
2026-04-01,469.29,462.95,475.57,184.45
2026-05-01,475.43,468.9,481.9,184.92
2026-06-01,483.45,475.87,491.01,185.4
2026-07-01,489.52,481.13,496.56,185.87
2026-08-01,497.54,488.65,505.78,186.36
2026-09-01,503.67,493.38,511.94,186.84
2026-10-01,508.4,498.08,517.49,187.31
2026-11-01,513.09,501.64,524.97,187.79
2026-12-01,515.4,502.68,528.2,188.26
2027-01-01,523.6,510.11,538.54,188.74
2027-02-01,529.15,512.89,547.75,189.22
2027-03-01,538.29,520.61,557.97,189.66
2027-04-01,548.56,529.76,568.35,190.14
2027-05-01,553.75,531.86,577.73,190.61
2027-06-01,564.21,539.82,591.89,191.09
2027-07-01,570.16,545.26,597.05,191.56
2027-08-01,581.15,554.2,610.58,192.05
2027-09-01,588.31,558.43,620.51,192.53
2027-10-01,594.65,563.64,626.78,193.0
2027-11-01,601.7,571.37,639.07,193.48
2027-12-01,604.98,569.43,643.63,193.95
2028-01-01,613.75,575.57,655.95,194.43
2028-02-01,620.66,580.09,666.64,194.91
2028-03-01,633.21,590.74,682.43,195.37
2028-04-01,639.03,594.39,687.13,195.85
2028-05-01,653.02,605.04,708.57,196.32
2028-06-01,662.34,612.49,722.2,196.8
2028-07-01,674.87,619.85,735.08,197.27
2028-08-01,683.31,627.65,747.69,197.75
2028-09-01,693.66,633.74,759.31,198.23
2028-10-01,701.36,638.51,764.39,198.7
2028-11-01,707.54,640.59,780.92,199.18
2028-12-01,713.94,643.87,787.99,199.65
2029-01-01,727.97,655.6,806.77,200.14
2029-02-01,737.64,662.69,818.62,200.62
2029-03-01,749.21,669.21,834.67,201.06
2029-04-01,759.18,675.94,844.57,201.54
2029-05-01,772.99,686.05,863.32,202.01
2029-06-01,785.48,694.24,877.79,202.49
2029-07-01,798.58,705.29,891.99,202.96
2029-08-01,810.73,713.54,907.43,203.44
2029-09-01,822.89,719.25,927.56,203.92
2029-10-01,832.96,728.21,941.85,204.39
2029-11-01,842.32,734.6,956.03,204.87
2029-12-01,850.56,737.24,969.0,205.34
