ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,440.83,435.66,445.73,179.54
2025-02-01,448.76,443.66,453.97,180.24
2025-03-01,456.52,451.79,461.19,180.87
2025-04-01,465.05,459.99,470.17,181.57
2025-05-01,475.57,470.47,480.73,182.25
2025-06-01,485.44,480.22,490.47,182.95
2025-07-01,494.87,489.12,500.37,183.63
2025-08-01,503.92,498.78,509.48,184.33
2025-09-01,511.59,506.03,517.0,185.03
2025-10-01,521.19,515.64,526.98,185.71
2025-11-01,526.75,521.43,533.02,186.41
2025-12-01,532.54,526.89,538.01,187.09
2026-01-01,544.74,539.07,551.12,187.79
2026-02-01,556.0,550.21,562.24,188.49
2026-03-01,565.73,559.47,572.57,189.12
2026-04-01,579.35,572.77,586.54,189.82
2026-05-01,591.94,585.0,600.7,190.5
2026-06-01,603.53,596.64,612.53,191.2
2026-07-01,615.53,609.06,625.48,191.87
2026-08-01,628.95,621.3,641.35,192.57
2026-09-01,641.6,633.94,655.32,193.27
2026-10-01,651.23,642.48,665.47,193.95
2026-11-01,661.15,651.8,679.56,194.65
2026-12-01,671.4,660.31,691.21,195.33
2027-01-01,685.26,671.18,705.5,196.03
2027-02-01,700.89,685.93,723.35,196.73
2027-03-01,713.53,694.62,739.54,197.36
2027-04-01,733.41,715.09,762.64,198.06
2027-05-01,748.98,728.6,781.2,198.74
2027-06-01,763.22,739.78,799.52,199.44
2027-07-01,778.88,752.6,819.98,200.12
2027-08-01,797.91,767.08,845.32,200.82
2027-09-01,816.8,784.17,867.47,201.52
2027-10-01,827.33,789.84,882.04,202.19
2027-11-01,842.93,804.9,898.25,202.89
2027-12-01,858.94,820.0,917.06,203.57
2028-01-01,875.55,831.66,937.89,204.27
2028-02-01,896.9,845.49,964.75,204.97
2028-03-01,917.35,862.77,989.9,205.63
2028-04-01,935.22,875.72,1013.44,206.33
2028-05-01,958.94,892.69,1047.7,207.0
2028-06-01,982.77,913.61,1077.2,207.7
2028-07-01,1005.49,928.93,1108.86,208.38
2028-08-01,1026.21,941.9,1134.57,209.08
2028-09-01,1044.91,955.55,1158.71,209.78
2028-10-01,1071.67,976.74,1192.01,210.46
2028-11-01,1089.48,991.96,1218.34,211.16
2028-12-01,1107.72,1006.69,1240.16,211.84
2029-01-01,1137.06,1029.07,1283.26,212.54
2029-02-01,1162.83,1048.72,1309.47,213.24
2029-03-01,1188.63,1064.7,1346.99,213.87
2029-04-01,1215.97,1087.76,1379.12,214.57
2029-05-01,1246.02,1110.36,1421.53,215.25
2029-06-01,1275.83,1132.78,1456.8,215.95
2029-07-01,1305.52,1152.25,1492.02,216.62
2029-08-01,1335.3,1170.36,1529.29,217.32
2029-09-01,1363.94,1188.66,1565.31,218.02
2029-10-01,1395.3,1208.55,1606.27,218.7
2029-11-01,1422.49,1225.22,1641.07,219.4
2029-12-01,1450.4,1249.27,1680.65,220.08
