ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,435.25,431.01,439.41,171.29
2025-02-01,440.93,436.7,445.69,172.08
2025-03-01,448.86,444.29,453.39,172.79
2025-04-01,458.33,454.05,462.89,173.59
2025-05-01,468.33,463.63,472.88,174.35
2025-06-01,477.91,473.07,482.62,175.15
2025-07-01,486.78,481.56,491.81,175.91
2025-08-01,496.47,491.49,501.78,176.71
2025-09-01,505.17,500.14,510.86,177.5
2025-10-01,512.46,507.06,517.67,178.27
2025-11-01,518.07,512.16,523.87,179.06
2025-12-01,525.62,519.55,531.35,179.83
2026-01-01,535.7,528.75,542.37,180.62
2026-02-01,545.64,538.0,553.24,181.41
2026-03-01,555.98,547.96,566.33,182.13
2026-04-01,569.0,558.99,580.71,182.92
2026-05-01,580.85,570.07,596.7,183.69
2026-06-01,592.9,578.77,609.46,184.48
2026-07-01,605.71,588.87,624.62,185.25
2026-08-01,617.06,597.52,638.45,186.04
2026-09-01,630.11,611.32,654.64,186.83
2026-10-01,640.09,616.83,664.46,187.6
2026-11-01,649.22,621.9,680.5,188.39
2026-12-01,659.9,630.8,694.06,189.16
2027-01-01,671.15,636.93,707.25,189.95
2027-02-01,686.5,649.45,728.27,190.75
2027-03-01,700.16,659.01,744.68,191.46
2027-04-01,717.77,671.58,767.17,192.26
2027-05-01,732.34,681.23,787.26,193.02
2027-06-01,747.88,694.01,808.08,193.82
2027-07-01,765.78,703.88,826.55,194.58
2027-08-01,779.72,715.4,852.36,195.38
2027-09-01,798.38,728.54,877.22,196.17
2027-10-01,812.14,735.05,892.65,196.94
2027-11-01,825.99,745.17,913.48,197.73
2027-12-01,840.96,752.94,933.68,198.5
2028-01-01,854.42,762.71,951.31,199.29
2028-02-01,876.64,780.78,981.9,200.08
2028-03-01,894.79,790.25,1007.39,200.82
2028-04-01,914.93,801.87,1029.71,201.61
2028-05-01,937.87,818.99,1061.19,202.38
2028-06-01,960.03,833.53,1090.37,203.17
2028-07-01,979.98,850.8,1115.62,203.94
2028-08-01,1003.87,866.16,1143.29,204.73
2028-09-01,1023.95,878.39,1170.92,205.53
2028-10-01,1044.43,894.38,1191.27,206.29
2028-11-01,1062.43,904.03,1216.47,207.09
2028-12-01,1083.51,917.66,1249.5,207.85
2029-01-01,1110.35,937.85,1285.68,208.65
2029-02-01,1132.78,949.32,1313.88,209.44
2029-03-01,1158.18,963.35,1352.09,210.16
2029-04-01,1186.05,985.18,1386.77,210.95
2029-05-01,1214.92,1003.18,1432.63,211.72
2029-06-01,1243.78,1025.87,1471.05,212.51
2029-07-01,1272.15,1043.34,1513.11,213.28
2029-08-01,1302.06,1063.29,1550.07,214.07
2029-09-01,1331.23,1079.29,1590.29,214.86
2029-10-01,1359.11,1095.62,1639.47,215.63
2029-11-01,1385.54,1110.35,1675.17,216.42
2029-12-01,1414.75,1127.01,1717.91,217.19
