ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,521.58,516.99,526.08,209.59
2025-02-01,532.18,527.47,536.47,210.53
2025-03-01,536.55,532.1,540.88,211.38
2025-04-01,550.39,545.81,554.81,212.32
2025-05-01,559.99,555.13,564.7,213.23
2025-06-01,573.1,568.09,577.84,214.17
2025-07-01,586.27,581.0,590.83,215.08
2025-08-01,595.4,590.21,600.2,216.03
2025-09-01,604.22,598.77,609.5,216.97
2025-10-01,613.43,607.9,618.53,217.88
2025-11-01,624.23,619.3,629.57,218.82
2025-12-01,631.21,625.73,636.49,219.73
2026-01-01,644.75,638.27,649.97,220.67
2026-02-01,658.23,652.01,664.31,221.61
2026-03-01,669.04,662.7,674.23,222.46
2026-04-01,684.61,677.85,690.99,223.4
2026-05-01,697.31,688.96,703.53,224.31
2026-06-01,714.89,705.05,721.77,225.26
2026-07-01,729.65,718.85,737.49,226.17
2026-08-01,742.89,730.09,752.38,227.11
2026-09-01,756.93,745.32,767.48,228.05
2026-10-01,769.78,754.03,781.21,228.96
2026-11-01,785.59,768.85,799.19,229.9
2026-12-01,794.32,776.11,809.27,230.81
2027-01-01,811.37,791.02,826.59,231.75
2027-02-01,828.92,806.61,846.99,232.7
2027-03-01,847.66,823.4,866.05,233.55
2027-04-01,865.95,838.34,885.21,234.49
2027-05-01,882.98,853.13,903.8,235.4
2027-06-01,906.35,873.43,930.61,236.34
2027-07-01,923.8,888.95,950.1,237.25
2027-08-01,942.6,907.43,970.62,238.19
2027-09-01,963.38,924.76,995.59,239.13
2027-10-01,981.23,940.11,1016.01,240.04
2027-11-01,1003.55,959.23,1039.35,240.99
2027-12-01,1015.29,969.72,1053.99,241.9
2028-01-01,1037.33,987.3,1077.9,242.84
2028-02-01,1060.53,1008.27,1102.59,243.78
2028-03-01,1080.54,1024.18,1127.35,244.66
2028-04-01,1110.98,1051.91,1161.74,245.6
2028-05-01,1135.18,1072.77,1189.38,246.51
2028-06-01,1162.58,1095.11,1219.59,247.45
2028-07-01,1193.62,1122.6,1255.24,248.36
2028-08-01,1217.54,1141.75,1281.89,249.3
2028-09-01,1240.27,1161.65,1307.14,250.25
2028-10-01,1265.59,1179.84,1335.34,251.16
2028-11-01,1291.85,1197.84,1366.8,252.1
2028-12-01,1317.51,1215.17,1394.37,253.01
2029-01-01,1349.8,1241.22,1431.88,253.95
2029-02-01,1381.95,1269.78,1469.56,254.89
2029-03-01,1406.87,1287.69,1497.24,255.74
2029-04-01,1443.97,1323.09,1539.96,256.68
2029-05-01,1476.39,1344.46,1579.68,257.59
2029-06-01,1513.67,1377.23,1619.78,258.54
2029-07-01,1551.5,1403.95,1663.45,259.45
2029-08-01,1585.11,1438.3,1701.78,260.39
2029-09-01,1618.93,1470.8,1736.97,261.33
2029-10-01,1653.75,1492.31,1777.57,262.24
2029-11-01,1691.18,1515.8,1820.65,263.18
2029-12-01,1724.57,1541.93,1858.83,264.09
