ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,476.66,472.18,481.2,190.55
2025-02-01,484.8,480.86,489.09,191.36
2025-03-01,489.0,484.46,493.25,192.09
2025-04-01,498.91,494.39,503.13,192.9
2025-05-01,509.13,504.76,513.69,193.68
2025-06-01,518.5,514.07,522.99,194.49
2025-07-01,525.55,521.01,530.09,195.28
2025-08-01,536.71,531.86,541.14,196.08
2025-09-01,543.63,538.87,548.33,196.89
2025-10-01,552.41,547.85,557.72,197.68
2025-11-01,556.7,551.39,561.73,198.48
2025-12-01,563.84,558.44,568.99,199.27
2026-01-01,574.66,569.11,580.17,200.08
2026-02-01,584.5,579.31,590.54,200.88
2026-03-01,593.71,587.21,599.87,201.61
2026-04-01,604.73,598.42,611.3,202.42
2026-05-01,618.58,610.69,624.77,203.21
2026-06-01,629.45,620.71,637.75,204.02
2026-07-01,639.43,628.88,648.85,204.8
2026-08-01,653.69,641.86,664.32,205.61
2026-09-01,664.25,652.25,675.99,206.42
2026-10-01,674.95,660.93,689.06,207.2
2026-11-01,682.54,666.49,697.74,208.01
2026-12-01,693.77,675.68,709.26,208.79
2027-01-01,706.02,688.27,722.92,209.6
2027-02-01,718.43,697.39,739.7,210.41
2027-03-01,733.78,710.0,758.22,211.14
2027-04-01,746.68,721.39,770.16,211.95
2027-05-01,765.18,738.96,792.7,212.73
2027-06-01,778.39,752.55,808.15,213.54
2027-07-01,792.34,760.47,824.73,214.32
2027-08-01,810.75,778.68,846.74,215.13
2027-09-01,826.06,789.36,868.01,215.94
2027-10-01,839.65,802.06,882.63,216.72
2027-11-01,851.7,809.93,896.11,217.53
2027-12-01,868.21,822.63,912.75,218.31
2028-01-01,882.87,837.14,932.96,219.12
2028-02-01,899.02,850.56,954.21,219.93
2028-03-01,916.32,859.55,972.56,220.69
2028-04-01,938.96,879.15,999.83,221.49
2028-05-01,959.53,894.73,1026.79,222.28
2028-06-01,981.75,912.53,1052.94,223.09
2028-07-01,999.94,927.97,1076.23,223.87
2028-08-01,1023.25,945.1,1104.7,224.68
2028-09-01,1041.22,956.34,1125.85,225.49
2028-10-01,1063.6,978.38,1150.84,226.27
2028-11-01,1079.55,985.08,1172.54,227.08
2028-12-01,1098.32,1000.28,1193.32,227.86
2029-01-01,1124.84,1021.9,1223.01,228.67
2029-02-01,1149.43,1043.01,1253.62,229.48
2029-03-01,1169.53,1055.67,1278.9,230.21
2029-04-01,1197.03,1075.97,1310.25,231.02
2029-05-01,1225.25,1098.61,1344.98,231.8
2029-06-01,1252.91,1116.8,1373.56,232.61
2029-07-01,1278.17,1133.85,1410.6,233.39
2029-08-01,1308.85,1159.41,1445.43,234.2
2029-09-01,1334.91,1181.31,1481.66,235.01
2029-10-01,1363.58,1201.96,1514.11,235.79
2029-11-01,1387.45,1219.66,1546.95,236.6
2029-12-01,1415.13,1239.83,1578.68,237.38
