ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,430.17,425.35,435.13,177.36
2025-02-01,436.04,431.58,440.85,177.84
2025-03-01,443.63,438.92,448.52,178.28
2025-04-01,449.77,444.91,454.93,178.76
2025-05-01,459.33,454.6,464.26,179.23
2025-06-01,467.71,462.49,472.84,179.72
2025-07-01,476.67,471.76,481.57,180.18
2025-08-01,484.76,479.77,489.68,180.67
2025-09-01,492.88,487.24,498.29,181.15
2025-10-01,499.17,493.41,504.79,181.62
2025-11-01,504.83,499.3,510.98,182.1
2025-12-01,509.52,504.05,515.2,182.57
2026-01-01,520.6,514.32,526.87,183.05
2026-02-01,528.47,522.75,535.08,183.53
2026-03-01,539.04,532.09,545.99,183.97
2026-04-01,549.53,542.31,556.1,184.45
2026-05-01,559.4,551.51,567.72,184.92
2026-06-01,571.3,562.18,578.78,185.4
2026-07-01,581.38,571.16,590.63,185.87
2026-08-01,593.56,581.59,603.31,186.36
2026-09-01,604.0,592.58,615.68,186.84
2026-10-01,613.19,599.36,625.43,187.31
2026-11-01,622.51,607.14,636.72,187.79
2026-12-01,629.61,613.99,645.73,188.26
2027-01-01,642.76,625.22,658.73,188.74
2027-02-01,653.46,634.98,671.77,189.22
2027-03-01,667.89,646.89,688.13,189.66
2027-04-01,683.67,658.4,706.7,190.14
2027-05-01,694.55,669.02,719.25,190.61
2027-06-01,710.9,682.74,738.83,191.09
2027-07-01,722.93,692.31,751.86,191.56
2027-08-01,740.24,708.02,774.03,192.05
2027-09-01,753.92,717.53,792.69,192.53
2027-10-01,767.0,727.37,807.55,193.0
2027-11-01,781.02,738.15,824.03,193.48
2027-12-01,791.5,746.07,836.78,193.95
2028-01-01,807.72,758.94,857.35,194.43
2028-02-01,822.34,770.32,872.06,194.91
2028-03-01,842.82,789.35,893.3,195.37
2028-04-01,856.87,798.82,910.12,195.85
2028-05-01,879.34,818.02,941.5,196.32
2028-06-01,897.45,830.15,957.99,196.8
2028-07-01,919.02,852.34,984.84,197.27
2028-08-01,936.83,867.31,1002.43,197.75
2028-09-01,956.85,880.39,1027.16,198.23
2028-10-01,974.51,893.84,1045.11,198.7
2028-11-01,991.0,907.59,1065.18,199.18
2028-12-01,1008.03,918.84,1085.28,199.65
2029-01-01,1033.04,939.54,1114.87,200.14
2029-02-01,1054.05,956.08,1139.94,200.62
2029-03-01,1077.24,971.41,1169.14,201.06
2029-04-01,1099.28,988.37,1195.23,201.54
2029-05-01,1125.53,1009.06,1229.81,202.01
2029-06-01,1150.86,1025.67,1258.61,202.49
2029-07-01,1177.2,1046.33,1291.64,202.96
2029-08-01,1203.02,1061.53,1325.83,203.44
2029-09-01,1229.29,1080.13,1359.09,203.92
2029-10-01,1253.88,1095.87,1391.61,204.39
2029-11-01,1278.24,1109.51,1424.52,204.87
2029-12-01,1301.91,1127.71,1453.02,205.34
