ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,379.75,374.87,384.61,179.54
2025-02-01,384.1,379.2,388.86,180.24
2025-03-01,388.17,383.18,393.14,180.87
2025-04-01,392.86,387.96,397.63,181.57
2025-05-01,399.38,394.0,404.61,182.25
2025-06-01,405.1,399.3,409.93,182.95
2025-07-01,410.23,405.06,415.34,183.63
2025-08-01,414.82,409.44,419.96,184.33
2025-09-01,417.85,412.44,423.25,185.03
2025-10-01,422.67,417.61,428.37,185.71
2025-11-01,423.25,418.34,429.02,186.41
2025-12-01,423.9,418.0,429.76,187.09
2026-01-01,430.76,424.96,436.98,187.79
2026-02-01,436.48,430.29,442.06,188.49
2026-03-01,440.52,434.4,447.46,189.12
2026-04-01,448.2,441.35,455.29,189.82
2026-05-01,454.67,448.06,461.77,190.5
2026-06-01,459.9,453.26,467.27,191.2
2026-07-01,465.33,457.69,473.67,191.87
2026-08-01,471.94,463.92,480.23,192.57
2026-09-01,477.56,468.27,487.71,193.27
2026-10-01,479.92,470.62,490.12,193.95
2026-11-01,482.3,471.75,493.8,194.65
2026-12-01,484.78,474.18,495.74,195.33
2027-01-01,490.59,476.02,504.6,196.03
2027-02-01,497.89,482.62,512.02,196.73
2027-03-01,502.0,486.45,518.56,197.36
2027-04-01,512.99,495.59,530.53,198.06
2027-05-01,519.4,499.53,538.75,198.74
2027-06-01,524.15,501.2,544.41,199.44
2027-07-01,530.03,505.73,551.77,200.12
2027-08-01,538.94,512.82,562.78,200.82
2027-09-01,547.38,518.19,573.91,201.52
2027-10-01,547.14,515.07,574.53,202.19
2027-11-01,551.6,519.19,581.66,202.89
2027-12-01,556.14,521.04,590.69,203.57
2028-01-01,560.87,523.48,597.91,204.27
2028-02-01,569.96,532.01,606.84,204.97
2028-03-01,577.83,533.98,619.74,205.63
2028-04-01,582.66,539.53,625.94,206.33
2028-05-01,592.95,547.37,637.92,207.0
2028-06-01,602.89,552.63,650.26,207.7
2028-07-01,611.32,560.96,660.68,208.38
2028-08-01,617.27,560.48,670.96,209.08
2028-09-01,620.73,562.17,674.76,209.78
2028-10-01,631.82,567.74,689.51,210.46
2028-11-01,633.43,568.32,693.66,211.16
2028-12-01,635.01,566.28,700.04,211.84
2029-01-01,647.13,574.34,713.78,212.54
2029-02-01,655.14,579.16,725.19,213.24
2029-03-01,662.81,581.68,735.75,213.87
2029-04-01,671.29,587.19,746.51,214.57
2029-05-01,681.96,597.09,758.76,215.25
2029-06-01,691.75,598.5,775.29,215.95
2029-07-01,700.86,606.08,788.98,216.62
2029-08-01,709.39,609.91,801.36,217.32
2029-09-01,716.13,611.34,808.22,218.02
2029-10-01,724.99,615.67,824.77,218.7
2029-11-01,728.94,617.55,831.91,219.4
2029-12-01,733.0,620.16,843.74,220.08
