ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,366.76,362.16,371.35,171.29
2025-02-01,369.08,364.63,373.52,172.08
2025-03-01,373.56,369.01,377.83,172.79
2025-04-01,379.41,374.76,384.21,173.59
2025-05-01,385.66,381.0,390.55,174.35
2025-06-01,391.34,386.24,396.11,175.15
2025-07-01,396.17,390.94,400.94,175.91
2025-08-01,401.67,396.55,406.66,176.71
2025-09-01,406.01,400.55,411.21,177.5
2025-10-01,408.79,402.56,414.0,178.27
2025-11-01,409.72,403.2,415.84,179.06
2025-12-01,412.43,405.84,417.74,179.83
2026-01-01,417.48,410.46,423.26,180.62
2026-02-01,422.21,414.26,428.14,181.41
2026-03-01,427.2,418.46,434.38,182.13
2026-04-01,434.63,423.66,442.65,182.92
2026-05-01,440.71,428.25,449.65,183.69
2026-06-01,446.77,432.3,457.64,184.48
2026-07-01,453.39,437.74,465.83,185.25
2026-08-01,458.31,440.53,474.46,186.04
2026-09-01,464.71,443.11,479.45,186.83
2026-10-01,467.84,444.74,485.54,187.6
2026-11-01,469.85,443.76,488.34,188.39
2026-12-01,473.2,445.72,493.28,189.16
2027-01-01,476.84,445.86,499.23,189.95
2027-02-01,484.31,451.49,509.28,190.75
2027-03-01,489.92,453.55,516.87,191.46
2027-04-01,499.12,459.33,528.9,192.26
2027-05-01,505.03,462.41,535.36,193.02
2027-06-01,511.58,463.13,546.23,193.82
2027-07-01,520.22,467.98,558.02,194.58
2027-08-01,524.58,469.37,565.49,195.38
2027-09-01,533.32,473.91,578.76,196.17
2027-10-01,536.88,470.43,583.74,196.94
2027-11-01,540.16,473.09,590.21,197.73
2027-12-01,544.25,474.13,597.17,198.5
2028-01-01,546.43,472.24,600.03,199.29
2028-02-01,557.02,476.48,616.27,200.08
2028-03-01,563.24,476.16,624.74,200.82
2028-04-01,570.98,479.95,637.09,201.61
2028-05-01,581.16,489.46,651.93,202.38
2028-06-01,590.11,493.9,667.99,203.17
2028-07-01,596.48,495.47,677.36,203.94
2028-08-01,606.31,500.27,691.67,204.73
2028-09-01,611.87,494.89,698.59,205.53
2028-10-01,617.44,495.09,708.68,206.29
2028-11-01,620.0,499.35,714.15,207.09
2028-12-01,625.22,498.99,721.72,207.85
2029-01-01,635.63,504.85,740.97,208.65
2029-02-01,641.14,503.74,751.37,209.44
2029-03-01,649.26,503.77,760.18,210.16
2029-04-01,659.13,505.8,777.82,210.95
2029-05-01,669.51,509.55,791.27,211.72
2029-06-01,679.24,515.91,805.37,212.51
2029-07-01,687.97,517.85,821.26,213.28
2029-08-01,697.56,520.3,835.4,214.07
2029-09-01,705.78,525.48,846.86,214.86
2029-10-01,712.16,517.97,858.18,215.63
2029-11-01,716.35,520.7,866.99,216.42
2029-12-01,722.73,517.66,881.61,217.19
