ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,456.79,452.32,461.01,209.59
2025-02-01,463.28,458.88,467.62,210.53
2025-03-01,463.43,459.15,467.75,211.38
2025-04-01,472.83,468.4,477.23,212.32
2025-05-01,477.84,473.13,482.38,213.23
2025-06-01,486.16,481.67,490.64,214.17
2025-07-01,494.39,489.53,499.04,215.08
2025-08-01,498.36,493.94,503.05,216.03
2025-09-01,501.83,496.63,506.5,216.97
2025-10-01,505.51,500.66,510.7,217.88
2025-11-01,510.55,505.92,515.5,218.82
2025-12-01,511.57,506.5,516.57,219.73
2026-01-01,518.92,513.67,524.76,220.67
2026-02-01,525.99,520.42,531.82,221.61
2026-03-01,530.21,524.42,536.56,222.46
2026-04-01,538.89,533.07,545.75,223.4
2026-05-01,544.48,538.88,551.35,224.31
2026-06-01,554.67,548.97,562.94,225.26
2026-07-01,561.8,555.87,570.11,226.17
2026-08-01,567.12,560.14,576.63,227.11
2026-09-01,572.95,565.82,583.85,228.05
2026-10-01,577.34,569.8,588.56,228.96
2026-11-01,584.36,575.7,597.96,229.9
2026-12-01,584.03,574.6,599.31,230.81
2027-01-01,591.69,581.65,606.0,231.75
2027-02-01,599.51,589.32,616.56,232.7
2027-03-01,608.28,596.26,627.02,233.55
2027-04-01,616.18,602.63,636.77,234.49
2027-05-01,622.49,608.04,647.05,235.4
2027-06-01,634.76,618.69,657.64,236.34
2027-07-01,640.77,622.56,665.42,237.25
2027-08-01,647.7,629.13,673.63,238.19
2027-09-01,656.23,636.19,683.35,239.13
2027-10-01,661.45,639.03,690.22,240.04
2027-11-01,670.7,647.86,700.01,240.99
2027-12-01,668.96,643.64,701.08,241.9
2028-01-01,677.06,649.19,710.39,242.84
2028-02-01,685.85,656.76,722.91,243.78
2028-03-01,691.08,661.05,727.06,244.66
2028-04-01,706.17,671.88,743.64,245.6
2028-05-01,714.57,680.3,757.27,246.51
2028-06-01,725.62,690.02,770.52,247.45
2028-07-01,739.84,699.86,784.94,248.36
2028-08-01,746.34,704.17,795.94,249.3
2028-09-01,751.1,708.44,802.16,250.25
2028-10-01,757.94,713.73,811.69,251.16
2028-11-01,765.08,716.84,821.47,252.1
2028-12-01,771.07,720.68,829.6,253.01
2029-01-01,783.02,730.7,846.04,253.95
2029-02-01,794.19,737.1,859.08,254.89
2029-03-01,797.69,739.9,862.96,255.74
2029-04-01,812.49,748.83,882.9,256.68
2029-05-01,822.0,758.41,895.9,257.59
2029-06-01,835.58,769.15,911.75,258.54
2029-07-01,849.06,781.57,930.7,259.45
2029-08-01,857.49,785.32,940.42,260.39
2029-09-01,865.36,791.04,953.69,261.33
2029-10-01,873.52,797.5,962.02,262.24
2029-11-01,883.39,804.86,976.75,263.18
2029-12-01,888.48,805.06,983.92,264.09
