ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,399.18,394.61,403.36,190.55
2025-02-01,404.01,399.45,408.13,191.36
2025-03-01,404.81,400.41,409.06,192.09
2025-04-01,411.16,407.03,415.62,192.9
2025-05-01,417.7,413.42,422.29,193.68
2025-06-01,423.24,419.17,427.65,194.49
2025-07-01,426.33,421.41,431.14,195.28
2025-08-01,433.38,428.66,438.38,196.08
2025-09-01,436.03,431.54,440.83,196.89
2025-10-01,440.4,435.72,445.19,197.68
2025-11-01,440.11,435.19,445.48,198.48
2025-12-01,442.52,437.47,448.17,199.27
2026-01-01,448.42,443.12,453.82,200.08
2026-02-01,453.17,447.68,458.76,200.88
2026-03-01,457.15,450.9,462.84,201.61
2026-04-01,462.73,456.19,468.98,202.42
2026-05-01,470.95,463.67,477.29,203.21
2026-06-01,475.98,468.52,482.69,204.02
2026-07-01,479.93,471.9,486.61,204.8
2026-08-01,487.95,478.39,496.13,205.61
2026-09-01,492.04,480.7,500.57,206.42
2026-10-01,496.07,483.04,506.4,207.2
2026-11-01,496.75,482.03,508.24,208.01
2026-12-01,500.86,484.13,513.4,208.79
2027-01-01,505.72,488.37,521.15,209.6
2027-02-01,510.49,493.35,527.29,210.41
2027-03-01,518.03,498.99,535.63,211.14
2027-04-01,522.78,502.11,542.9,211.95
2027-05-01,532.88,511.42,553.45,212.73
2027-06-01,537.4,513.56,558.55,213.54
2027-07-01,542.39,517.95,565.92,214.32
2027-08-01,551.52,525.64,577.16,215.13
2027-09-01,557.25,529.76,584.48,215.94
2027-10-01,560.97,529.83,590.51,216.72
2027-11-01,562.81,531.9,593.32,217.53
2027-12-01,568.81,534.76,602.56,218.31
2028-01-01,572.58,536.75,605.75,219.12
2028-02-01,577.5,538.34,612.61,219.93
2028-03-01,583.28,543.63,619.23,220.69
2028-04-01,593.97,552.46,632.09,221.49
2028-05-01,602.24,556.15,643.78,222.28
2028-06-01,611.73,564.18,655.15,223.09
2028-07-01,616.84,566.24,661.43,223.87
2028-08-01,626.61,574.95,675.52,224.68
2028-09-01,630.61,578.59,682.52,225.49
2028-10-01,638.63,583.01,695.56,226.27
2028-11-01,639.73,583.31,699.91,227.08
2028-12-01,643.24,584.28,707.9,227.86
2029-01-01,653.97,593.13,719.95,228.67
2029-02-01,662.29,598.39,737.34,229.48
2029-03-01,665.79,598.83,739.79,230.21
2029-04-01,676.0,607.2,754.85,231.02
2029-05-01,686.46,612.96,770.36,231.8
2029-06-01,695.77,619.15,782.54,232.61
2029-07-01,702.17,623.38,791.07,233.39
2029-08-01,713.36,632.22,803.62,234.2
2029-09-01,719.34,635.48,812.59,235.01
2029-10-01,727.39,638.55,826.57,235.79
2029-11-01,729.95,639.49,833.18,236.6
2029-12-01,735.75,644.91,839.87,237.38
