ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,369.13,364.09,374.31,177.36
2025-02-01,371.68,366.61,376.5,177.84
2025-03-01,375.84,371.0,381.02,178.28
2025-04-01,378.41,373.58,383.01,178.76
2025-05-01,384.29,379.55,389.06,179.23
2025-06-01,388.84,383.89,394.09,179.72
2025-07-01,393.83,388.9,398.96,180.18
2025-08-01,397.82,392.64,402.81,180.67
2025-09-01,401.68,396.4,407.2,181.15
2025-10-01,403.57,398.41,409.24,181.62
2025-11-01,404.67,399.06,409.82,182.1
2025-12-01,404.64,399.85,410.41,182.57
2026-01-01,410.84,405.14,416.9,183.05
2026-02-01,413.66,408.21,419.5,183.53
2026-03-01,419.03,413.74,425.35,183.97
2026-04-01,424.11,418.41,430.42,184.45
2026-05-01,428.41,422.05,435.75,184.92
2026-06-01,434.52,427.62,442.36,185.4
2026-07-01,438.64,431.44,446.46,185.87
2026-08-01,444.65,437.74,454.19,186.36
2026-09-01,448.72,440.67,458.48,186.84
2026-10-01,451.33,442.81,464.16,187.31
2026-11-01,453.84,444.05,465.9,187.79
2026-12-01,453.93,444.54,467.89,188.26
2027-01-01,459.82,447.89,473.43,188.74
2027-02-01,463.03,449.81,478.28,189.22
2027-03-01,469.77,455.18,487.57,189.66
2027-04-01,477.55,461.91,494.35,190.14
2027-05-01,480.21,462.34,500.24,190.61
2027-06-01,488.06,468.35,509.51,191.09
2027-07-01,491.33,471.13,516.14,191.56
2027-08-01,499.58,476.42,526.99,192.05
2027-09-01,503.91,480.94,532.71,192.53
2027-10-01,507.37,482.89,535.99,193.0
2027-11-01,511.46,483.89,543.09,193.48
2027-12-01,511.71,484.23,548.41,193.95
2028-01-01,517.36,488.22,551.57,194.43
2028-02-01,521.08,490.05,558.25,194.91
2028-03-01,530.37,495.06,570.42,195.37
2028-04-01,532.83,498.44,578.05,195.85
2028-05-01,543.4,504.26,590.55,196.32
2028-06-01,549.2,508.84,598.79,196.8
2028-07-01,558.12,516.49,609.98,197.27
2028-08-01,562.86,519.59,618.88,197.75
2028-09-01,569.42,521.74,627.75,198.23
2028-10-01,573.24,525.37,631.63,198.7
2028-11-01,575.44,524.64,638.25,199.18
2028-12-01,577.78,525.61,640.09,199.65
2029-01-01,587.63,533.0,656.84,200.14
2029-02-01,593.03,537.12,666.22,200.62
2029-03-01,600.25,539.87,673.98,201.06
2029-04-01,605.74,542.87,682.96,201.54
2029-05-01,614.97,548.66,694.3,202.01
2029-06-01,622.75,553.97,704.08,202.49
2029-07-01,631.06,558.06,717.48,202.96
2029-08-01,638.28,561.99,727.61,203.44
2029-09-01,645.4,563.28,739.49,203.92
2029-10-01,650.32,568.9,743.69,204.39
2029-11-01,654.4,569.47,754.71,204.87
2029-12-01,657.24,573.87,761.46,205.34
