ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,870.2,864.36,875.96,318.15
2025-02-01,875.41,869.65,881.82,319.23
2025-03-01,878.74,872.42,884.73,320.21
2025-04-01,880.13,874.1,886.63,321.29
2025-05-01,883.83,877.32,890.39,322.33
2025-06-01,885.84,879.56,892.45,323.41
2025-07-01,887.84,881.22,894.41,324.46
2025-08-01,886.06,879.95,893.02,325.54
2025-09-01,898.43,891.88,905.26,326.62
2025-10-01,903.05,896.48,910.03,327.67
2025-11-01,904.29,897.2,911.94,328.75
2025-12-01,906.49,898.84,914.1,329.79
2026-01-01,914.05,906.3,921.76,330.87
2026-02-01,921.52,913.15,929.54,331.95
2026-03-01,921.58,911.61,930.32,332.93
2026-04-01,923.67,913.2,934.12,334.01
2026-05-01,928.85,916.74,939.42,335.06
2026-06-01,931.27,917.47,944.48,336.14
2026-07-01,931.91,916.81,946.92,337.18
2026-08-01,935.75,916.84,952.88,338.26
2026-09-01,942.18,921.56,963.73,339.34
2026-10-01,947.69,925.87,969.64,340.39
2026-11-01,950.77,923.76,978.23,341.47
2026-12-01,953.83,924.96,986.89,342.52
2027-01-01,961.37,927.5,994.26,343.6
2027-02-01,971.26,933.06,1009.95,344.68
2027-03-01,967.84,928.6,1008.91,345.65
2027-04-01,970.78,927.43,1017.88,346.73
2027-05-01,977.62,931.46,1027.35,347.78
2027-06-01,980.51,932.46,1037.12,348.86
2027-07-01,979.79,930.77,1034.47,349.9
2027-08-01,989.67,934.65,1054.54,350.98
2027-09-01,989.68,930.22,1056.03,352.07
2027-10-01,996.3,932.77,1069.58,353.11
2027-11-01,1001.45,934.78,1081.76,354.19
2027-12-01,1005.47,936.63,1088.83,355.24
2028-01-01,1013.02,942.85,1100.1,356.32
2028-02-01,1025.52,950.49,1120.93,357.4
2028-03-01,1025.08,944.81,1121.97,358.41
2028-04-01,1026.73,947.02,1132.69,359.49
2028-05-01,1030.2,942.73,1139.05,360.53
2028-06-01,1032.84,941.31,1147.19,361.62
2028-07-01,1037.47,943.79,1156.09,362.66
2028-08-01,1030.12,930.47,1151.53,363.74
2028-09-01,1051.63,946.6,1179.96,364.82
2028-10-01,1057.02,944.18,1196.74,365.87
2028-11-01,1057.4,940.26,1200.69,366.95
2028-12-01,1059.95,933.94,1208.13,367.99
2029-01-01,1069.68,942.34,1218.67,369.07
2029-02-01,1076.64,940.63,1235.4,370.15
2029-03-01,1081.48,940.31,1243.52,371.13
2029-04-01,1084.06,941.92,1252.44,372.21
2029-05-01,1089.35,936.59,1263.21,373.26
2029-06-01,1092.71,933.59,1269.77,374.34
2029-07-01,1096.09,936.32,1274.87,375.38
2029-08-01,1095.12,927.36,1279.22,376.46
2029-09-01,1110.54,934.28,1303.95,377.54
2029-10-01,1117.04,932.5,1313.66,378.59
2029-11-01,1119.65,926.68,1321.66,379.67
2029-12-01,1123.41,924.39,1333.16,380.72
