ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,725.14,720.77,729.74,265.37
2025-02-01,725.74,721.37,730.27,265.32
2025-03-01,727.61,722.79,731.99,265.27
2025-04-01,729.36,724.55,733.99,265.22
2025-05-01,725.09,720.28,729.78,265.18
2025-06-01,725.28,720.22,730.53,265.13
2025-07-01,724.58,719.38,729.97,265.08
2025-08-01,727.43,722.0,733.48,265.03
2025-09-01,725.07,719.49,731.1,264.98
2025-10-01,728.56,723.15,735.14,264.93
2025-11-01,731.58,725.86,738.22,264.89
2025-12-01,729.75,723.37,737.82,264.84
2026-01-01,731.02,724.65,740.6,264.79
2026-02-01,732.06,724.39,744.93,264.74
2026-03-01,733.32,725.68,749.5,264.7
2026-04-01,735.23,726.44,753.84,264.65
2026-05-01,731.83,722.45,753.92,264.6
2026-06-01,731.35,720.49,756.64,264.55
2026-07-01,732.12,719.26,763.71,264.5
2026-08-01,734.43,718.02,772.96,264.45
2026-09-01,732.83,714.08,776.04,264.41
2026-10-01,735.42,713.29,779.19,264.36
2026-11-01,738.97,711.81,789.35,264.31
2026-12-01,737.78,708.76,788.95,264.26
2027-01-01,739.43,707.94,794.48,264.21
2027-02-01,740.94,703.77,802.54,264.16
2027-03-01,741.63,703.75,808.26,264.12
2027-04-01,743.75,700.4,811.9,264.07
2027-05-01,741.25,696.38,815.57,264.02
2027-06-01,740.14,693.13,819.31,263.97
2027-07-01,742.43,691.05,826.09,263.93
2027-08-01,744.24,688.55,832.95,263.88
2027-09-01,743.43,685.34,842.92,263.83
2027-10-01,745.17,681.16,850.49,263.78
2027-11-01,749.31,685.47,859.76,263.73
2027-12-01,748.8,679.49,864.57,263.68
2028-01-01,750.88,681.26,872.47,263.64
2028-02-01,752.88,677.07,882.25,263.59
2028-03-01,754.32,673.92,889.49,263.54
2028-04-01,756.83,674.53,900.18,263.49
2028-05-01,752.68,664.06,901.66,263.44
2028-06-01,754.51,659.23,911.2,263.4
2028-07-01,753.31,648.25,918.55,263.35
2028-08-01,757.63,648.22,930.95,263.3
2028-09-01,755.54,646.15,932.33,263.25
2028-10-01,760.89,644.78,944.02,263.2
2028-11-01,764.42,644.46,958.39,263.15
2028-12-01,763.01,638.33,961.25,263.11
2029-01-01,764.94,636.0,970.39,263.06
2029-02-01,766.58,637.14,979.12,263.01
2029-03-01,769.49,631.04,984.81,262.96
2029-04-01,772.29,630.66,997.63,262.91
2029-05-01,769.14,623.07,1003.63,262.87
2029-06-01,770.44,618.98,1014.22,262.82
2029-07-01,770.86,614.95,1018.2,262.77
2029-08-01,774.82,611.41,1038.86,262.72
2029-09-01,773.64,598.81,1042.13,262.67
2029-10-01,778.26,595.56,1056.54,262.63
2029-11-01,782.45,594.61,1070.1,262.58
2029-12-01,781.83,591.5,1081.57,262.53
