ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,889.33,884.12,894.44,310.55
2025-02-01,888.03,882.46,893.06,311.12
2025-03-01,889.09,883.78,894.39,311.64
2025-04-01,887.31,882.23,892.69,312.21
2025-05-01,887.17,882.03,892.64,312.76
2025-06-01,890.17,884.8,895.92,313.33
2025-07-01,892.33,886.43,897.4,313.89
2025-08-01,894.18,888.45,900.06,314.46
2025-09-01,895.11,889.28,901.03,315.03
2025-10-01,900.42,894.7,906.97,315.58
2025-11-01,899.74,894.04,906.25,316.15
2025-12-01,901.95,895.42,908.94,316.71
2026-01-01,908.72,901.78,915.51,317.28
2026-02-01,908.64,901.87,915.66,317.85
2026-03-01,906.15,897.79,915.62,318.37
2026-04-01,908.74,899.62,918.32,318.94
2026-05-01,910.57,897.07,924.1,319.49
2026-06-01,909.08,889.58,923.54,320.06
2026-07-01,911.55,891.71,928.0,320.62
2026-08-01,915.2,893.75,934.61,321.19
2026-09-01,915.83,888.37,939.14,321.76
2026-10-01,920.75,889.91,946.74,322.31
2026-11-01,920.37,884.95,949.79,322.88
2026-12-01,925.04,885.83,956.69,323.44
2027-01-01,929.3,889.12,961.23,324.01
2027-02-01,930.5,884.76,967.47,324.58
2027-03-01,924.4,874.34,964.01,325.1
2027-04-01,931.63,873.79,976.63,325.67
2027-05-01,935.42,876.14,984.86,326.22
2027-06-01,929.23,866.28,982.2,326.79
2027-07-01,932.14,863.96,990.56,327.35
2027-08-01,937.67,864.41,1001.34,327.92
2027-09-01,938.0,862.25,1008.13,328.49
2027-10-01,942.55,864.22,1023.04,329.04
2027-11-01,942.54,857.75,1026.52,329.61
2027-12-01,949.74,857.46,1040.91,330.17
2028-01-01,951.38,857.34,1045.38,330.74
2028-02-01,953.95,852.77,1056.63,331.31
2028-03-01,957.0,850.94,1059.5,331.84
2028-04-01,950.9,842.43,1059.58,332.42
2028-05-01,948.9,827.23,1059.38,332.97
2028-06-01,957.16,825.88,1075.4,333.54
2028-07-01,959.6,824.57,1081.37,334.09
2028-08-01,960.13,819.9,1087.21,334.66
2028-09-01,961.8,818.29,1091.78,335.24
2028-10-01,968.36,814.58,1105.49,335.79
2028-11-01,967.73,808.14,1112.69,336.36
2028-12-01,967.93,804.0,1120.36,336.91
2029-01-01,978.29,809.48,1133.09,337.49
2029-02-01,977.28,804.94,1143.49,338.06
2029-03-01,978.85,804.69,1150.25,338.57
2029-04-01,977.34,796.32,1151.12,339.15
2029-05-01,977.62,791.81,1160.36,339.7
2029-06-01,981.31,791.65,1171.2,340.27
2029-07-01,984.11,788.71,1174.56,340.82
2029-08-01,986.59,785.48,1191.51,341.39
2029-09-01,988.06,782.87,1198.56,341.97
2029-10-01,994.31,771.92,1201.86,342.52
2029-11-01,994.07,767.02,1208.54,343.09
2029-12-01,996.98,767.95,1215.39,343.64
