ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,871.82,866.3,877.21,319.63
2025-02-01,875.31,869.77,880.84,320.01
2025-03-01,879.45,873.86,885.02,320.36
2025-04-01,878.35,872.12,883.97,320.74
2025-05-01,877.85,871.65,884.16,321.11
2025-06-01,884.25,878.4,890.09,321.49
2025-07-01,885.64,879.58,891.89,321.86
2025-08-01,882.63,876.24,889.09,322.24
2025-09-01,892.46,885.07,899.11,322.63
2025-10-01,896.13,888.49,903.13,323.0
2025-11-01,899.7,890.8,906.92,323.38
2025-12-01,899.44,889.45,907.53,323.75
2026-01-01,905.28,892.03,913.22,324.13
2026-02-01,908.91,893.02,917.09,324.51
2026-03-01,912.12,893.42,921.8,324.86
2026-04-01,913.07,890.95,924.13,325.24
2026-05-01,913.69,889.06,924.53,325.61
2026-06-01,917.18,890.39,933.72,325.99
2026-07-01,920.07,889.63,937.31,326.36
2026-08-01,923.25,887.21,945.82,326.75
2026-09-01,927.79,888.36,950.07,327.13
2026-10-01,934.07,893.3,959.36,327.5
2026-11-01,936.19,887.69,969.67,327.88
2026-12-01,938.25,887.33,976.11,328.25
2027-01-01,945.5,887.91,989.44,328.63
2027-02-01,949.34,885.02,994.86,329.02
2027-03-01,951.71,880.55,1003.55,329.36
2027-04-01,954.9,880.59,1012.97,329.74
2027-05-01,956.72,876.11,1021.19,330.11
2027-06-01,957.35,873.59,1023.58,330.5
2027-07-01,961.98,872.31,1033.05,330.87
2027-08-01,971.56,878.5,1048.2,331.25
2027-09-01,970.7,865.47,1056.43,331.63
2027-10-01,979.83,870.02,1070.84,332.0
2027-11-01,980.59,867.84,1077.46,332.38
2027-12-01,985.19,861.46,1088.68,332.75
2028-01-01,993.97,860.01,1104.81,333.13
2028-02-01,998.13,855.37,1117.05,333.52
2028-03-01,1003.9,854.22,1130.6,333.87
2028-04-01,1002.99,842.35,1132.89,334.26
2028-05-01,1003.65,833.91,1139.0,334.63
2028-06-01,1015.85,841.15,1162.01,335.01
2028-07-01,1018.38,841.86,1172.9,335.38
2028-08-01,1011.28,823.96,1175.48,335.76
2028-09-01,1029.61,833.25,1203.91,336.14
2028-10-01,1033.44,821.5,1213.41,336.51
2028-11-01,1041.38,823.76,1230.97,336.9
2028-12-01,1041.45,818.07,1236.19,337.27
2029-01-01,1048.9,823.2,1256.46,337.65
2029-02-01,1055.26,815.81,1273.32,338.03
2029-03-01,1062.37,813.4,1287.31,338.38
2029-04-01,1063.99,797.42,1299.97,338.76
2029-05-01,1066.28,786.33,1302.93,339.13
2029-06-01,1075.91,787.31,1330.61,339.51
2029-07-01,1080.3,776.79,1337.96,339.88
2029-08-01,1080.1,765.71,1347.22,340.26
2029-09-01,1093.5,767.43,1370.36,340.65
2029-10-01,1100.45,757.28,1380.24,341.02
2029-11-01,1107.35,749.49,1401.56,341.4
2029-12-01,1110.24,741.42,1411.43,341.77
