ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,806.28,800.7,811.5,279.76
2025-02-01,805.34,799.99,810.81,279.45
2025-03-01,812.05,806.43,817.29,279.16
2025-04-01,808.26,802.57,813.83,278.85
2025-05-01,808.81,803.05,814.45,278.55
2025-06-01,811.3,805.4,816.83,278.23
2025-07-01,808.77,802.38,814.68,277.93
2025-08-01,808.21,801.96,814.13,277.62
2025-09-01,809.58,803.1,815.85,277.3
2025-10-01,808.88,801.79,815.11,277.0
2025-11-01,810.39,803.34,817.23,276.69
2025-12-01,808.3,799.91,814.83,276.38
2026-01-01,810.63,800.36,817.73,276.07
2026-02-01,810.72,800.19,818.25,275.76
2026-03-01,813.72,798.68,823.53,275.47
2026-04-01,810.53,791.87,820.76,275.16
2026-05-01,814.29,787.58,828.76,274.86
2026-06-01,814.67,786.8,831.38,274.54
2026-07-01,813.91,779.64,835.29,274.24
2026-08-01,813.42,773.09,840.74,273.93
2026-09-01,815.18,771.66,845.04,273.62
2026-10-01,814.72,761.4,845.85,273.31
2026-11-01,813.27,756.27,849.46,273.0
2026-12-01,814.38,751.63,858.93,272.7
2027-01-01,818.21,751.88,867.81,272.38
2027-02-01,819.28,751.61,878.43,272.07
2027-03-01,818.71,741.38,880.74,271.79
2027-04-01,816.24,735.97,879.11,271.47
2027-05-01,823.16,736.45,889.74,271.17
2027-06-01,821.53,730.25,892.16,270.86
2027-07-01,822.55,722.38,904.15,270.55
2027-08-01,822.16,715.58,908.52,270.24
2027-09-01,824.35,706.18,922.13,269.93
2027-10-01,824.15,694.92,926.5,269.62
2027-11-01,819.92,690.44,929.99,269.31
2027-12-01,824.26,685.9,943.05,269.01
2028-01-01,829.57,680.43,954.73,268.69
2028-02-01,831.6,675.5,962.76,268.38
2028-03-01,834.57,664.74,971.43,268.09
2028-04-01,831.63,656.69,984.76,267.77
2028-05-01,830.2,644.42,984.61,267.47
2028-06-01,835.8,639.21,1007.08,267.16
2028-07-01,832.92,631.89,1015.46,266.85
2028-08-01,833.54,619.55,1027.26,266.54
2028-09-01,835.7,618.49,1036.91,266.23
2028-10-01,836.06,609.51,1050.13,265.92
2028-11-01,841.7,606.36,1066.68,265.61
2028-12-01,837.99,592.42,1074.53,265.31
2029-01-01,840.03,586.18,1090.24,264.99
2029-02-01,840.44,575.82,1102.39,264.68
2029-03-01,848.13,572.38,1120.12,264.4
2029-04-01,845.87,557.4,1132.14,264.08
2029-05-01,847.75,548.93,1147.05,263.78
2029-06-01,851.48,546.1,1166.88,263.47
2029-07-01,850.48,536.24,1179.67,263.16
2029-08-01,851.36,531.35,1188.87,262.85
2029-09-01,854.09,517.37,1199.28,262.54
2029-10-01,854.89,502.66,1213.61,262.23
2029-11-01,857.79,495.48,1221.96,261.92
2029-12-01,857.32,483.62,1234.65,261.62
