ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,713.98,709.42,718.72,265.82
2025-02-01,717.04,712.37,722.18,266.58
2025-03-01,719.47,714.94,724.31,267.26
2025-04-01,720.02,714.92,724.84,268.02
2025-05-01,719.18,714.27,724.14,268.75
2025-06-01,720.81,716.01,725.59,269.51
2025-07-01,722.9,718.43,727.63,270.24
2025-08-01,723.53,718.38,728.28,271.0
2025-09-01,726.85,721.4,732.27,271.76
2025-10-01,729.47,724.43,734.61,272.49
2025-11-01,731.97,726.81,737.56,273.25
2025-12-01,729.81,724.93,735.92,273.98
2026-01-01,736.39,730.7,742.39,274.74
2026-02-01,741.78,736.18,747.68,275.5
2026-03-01,739.86,734.49,746.46,276.18
2026-04-01,742.55,736.13,749.64,276.94
2026-05-01,743.39,736.45,750.41,277.67
2026-06-01,743.97,736.57,751.21,278.43
2026-07-01,747.63,740.47,757.19,279.17
2026-08-01,744.85,737.25,754.44,279.92
2026-09-01,750.28,741.42,760.07,280.68
2026-10-01,752.24,742.93,763.6,281.41
2026-11-01,755.82,744.26,768.34,282.17
2026-12-01,754.07,742.52,767.97,282.91
2027-01-01,759.88,746.11,773.81,283.66
2027-02-01,767.73,751.91,784.18,284.42
2027-03-01,761.22,745.06,777.82,285.11
2027-04-01,766.28,748.15,784.83,285.86
2027-05-01,768.91,747.49,788.18,286.6
2027-06-01,768.37,746.96,789.87,287.35
2027-07-01,773.68,751.74,796.51,288.09
2027-08-01,767.32,742.53,791.9,288.84
2027-09-01,775.06,746.87,801.52,289.6
2027-10-01,776.34,748.27,802.26,290.34
2027-11-01,781.11,751.61,809.52,291.09
2027-12-01,779.79,748.64,809.12,291.83
2028-01-01,784.81,752.57,818.35,292.58
2028-02-01,795.25,760.77,831.9,293.34
2028-03-01,794.84,757.15,834.03,294.05
2028-04-01,793.42,756.92,833.83,294.81
2028-05-01,790.84,751.86,832.97,295.54
2028-06-01,793.99,753.84,837.39,296.3
2028-07-01,794.87,752.05,841.86,297.03
2028-08-01,799.42,754.47,845.6,297.79
2028-09-01,801.21,753.56,851.88,298.55
2028-10-01,805.12,753.65,858.1,299.28
2028-11-01,807.05,754.67,859.71,300.04
2028-12-01,804.43,749.89,863.69,300.77
2029-01-01,812.96,755.36,873.51,301.53
2029-02-01,816.68,757.06,878.32,302.29
2029-03-01,819.72,759.0,885.39,302.97
2029-04-01,820.61,756.88,888.7,303.73
2029-05-01,819.96,752.32,889.83,304.46
2029-06-01,822.11,753.19,892.62,305.22
2029-07-01,824.8,751.67,895.43,305.96
2029-08-01,825.83,751.61,900.53,306.71
2029-09-01,829.92,750.8,908.47,307.47
2029-10-01,833.24,753.27,914.62,308.2
2029-11-01,836.42,752.34,920.76,308.96
2029-12-01,834.37,748.95,922.6,309.7
