ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,1145.33,1139.14,1151.48,318.15
2025-02-01,1151.96,1145.61,1158.28,319.23
2025-03-01,1156.64,1150.29,1162.34,320.21
2025-04-01,1159.49,1153.2,1165.94,321.29
2025-05-01,1164.65,1157.98,1171.12,322.33
2025-06-01,1168.17,1161.77,1175.02,323.41
2025-07-01,1171.67,1164.58,1178.64,324.46
2025-08-01,1171.46,1164.8,1178.35,325.54
2025-09-01,1185.41,1178.43,1193.47,326.62
2025-10-01,1191.61,1184.78,1199.73,327.67
2025-11-01,1194.5,1187.53,1202.41,328.75
2025-12-01,1198.34,1191.03,1207.23,329.79
2026-01-01,1207.6,1199.81,1217.85,330.87
2026-02-01,1216.8,1207.66,1228.0,331.95
2026-03-01,1218.54,1209.33,1231.92,332.93
2026-04-01,1222.41,1210.42,1238.49,334.01
2026-05-01,1229.4,1216.76,1247.25,335.06
2026-06-01,1233.68,1220.01,1254.25,336.14
2026-07-01,1236.19,1217.74,1263.17,337.18
2026-08-01,1241.97,1219.6,1271.36,338.26
2026-09-01,1250.38,1227.01,1284.11,339.34
2026-10-01,1257.87,1228.72,1294.17,340.39
2026-11-01,1263.01,1232.95,1305.39,341.47
2026-12-01,1268.13,1233.69,1312.71,342.52
2027-01-01,1277.81,1240.05,1328.69,343.6
2027-02-01,1289.89,1248.53,1343.92,344.68
2027-03-01,1288.6,1248.09,1341.39,345.65
2027-04-01,1293.82,1245.33,1357.07,346.73
2027-05-01,1302.96,1250.67,1375.3,347.78
2027-06-01,1308.23,1248.91,1388.62,348.86
2027-07-01,1309.91,1244.79,1395.35,349.9
2027-08-01,1322.27,1255.37,1416.77,350.98
2027-09-01,1324.82,1254.68,1421.77,352.07
2027-10-01,1334.0,1258.74,1441.2,353.11
2027-11-01,1341.8,1258.97,1451.77,354.19
2027-12-01,1348.5,1258.97,1467.28,355.24
2028-01-01,1358.83,1269.76,1485.04,356.32
2028-02-01,1374.16,1272.2,1506.37,357.4
2028-03-01,1376.56,1271.08,1515.2,358.41
2028-04-01,1381.19,1267.58,1529.14,359.49
2028-05-01,1387.66,1263.23,1542.25,360.53
2028-06-01,1393.42,1260.09,1555.81,361.62
2028-07-01,1401.2,1261.55,1570.61,362.66
2028-08-01,1397.12,1250.89,1569.26,363.74
2028-09-01,1421.97,1269.48,1604.21,364.82
2028-10-01,1430.75,1271.79,1618.25,365.87
2028-11-01,1434.63,1268.67,1628.09,366.95
2028-12-01,1440.74,1270.75,1647.21,367.99
2029-01-01,1454.14,1276.7,1665.92,369.07
2029-02-01,1464.88,1283.73,1682.0,370.15
2029-03-01,1473.47,1286.05,1696.37,371.13
2029-04-01,1480.01,1291.68,1710.87,372.21
2029-05-01,1489.33,1296.49,1725.59,373.26
2029-06-01,1496.84,1290.36,1743.22,374.34
2029-07-01,1504.45,1290.49,1760.05,375.38
2029-08-01,1507.85,1289.78,1770.76,376.46
2029-09-01,1527.75,1307.84,1800.07,377.54
2029-10-01,1538.81,1315.34,1818.32,378.59
2029-11-01,1546.13,1311.31,1830.36,379.67
2029-12-01,1554.69,1311.31,1849.47,380.72
