ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,956.76,952.25,961.6,265.37
2025-02-01,957.81,953.12,962.37,265.32
2025-03-01,960.15,955.66,964.95,265.27
2025-04-01,962.38,957.43,967.21,265.22
2025-05-01,958.61,953.65,963.8,265.18
2025-06-01,959.33,954.1,964.71,265.13
2025-07-01,959.18,954.4,964.88,265.08
2025-08-01,962.59,957.34,968.17,265.03
2025-09-01,960.82,955.22,966.1,264.98
2025-10-01,964.91,958.89,971.0,264.93
2025-11-01,968.57,961.95,975.19,264.89
2025-12-01,967.39,958.62,974.37,264.84
2026-01-01,969.34,958.63,976.73,264.79
2026-02-01,971.09,957.96,979.5,264.74
2026-03-01,973.08,958.59,983.5,264.7
2026-04-01,975.74,955.54,988.29,264.65
2026-05-01,973.12,950.9,990.52,264.6
2026-06-01,973.45,946.78,996.07,264.55
2026-07-01,975.07,940.74,1000.86,264.5
2026-08-01,978.25,938.7,1009.0,264.45
2026-09-01,977.55,932.76,1013.5,264.41
2026-10-01,981.07,932.65,1019.69,264.36
2026-11-01,985.58,935.07,1029.71,264.31
2026-12-01,985.37,925.61,1032.75,264.26
2027-01-01,988.06,920.37,1045.69,264.21
2027-02-01,990.62,919.55,1051.23,264.16
2027-03-01,992.42,913.47,1057.6,264.12
2027-04-01,995.67,910.76,1070.36,264.07
2027-05-01,994.34,903.36,1073.67,264.02
2027-06-01,994.44,899.6,1082.57,263.97
2027-07-01,997.97,893.71,1096.77,263.93
2027-08-01,1001.07,891.54,1106.89,263.88
2027-09-01,1001.59,887.37,1113.94,263.83
2027-10-01,1004.71,884.44,1123.75,263.78
2027-11-01,1010.26,886.96,1134.03,263.73
2027-12-01,1011.21,879.6,1141.63,263.68
2028-01-01,1014.8,877.55,1157.08,263.64
2028-02-01,1018.35,876.46,1172.28,263.59
2028-03-01,1021.39,873.01,1180.91,263.54
2028-04-01,1025.56,865.58,1191.16,263.49
2028-05-01,1023.11,853.36,1197.89,263.44
2028-06-01,1026.69,849.89,1207.68,263.4
2028-07-01,1027.31,839.92,1213.41,263.35
2028-08-01,1033.49,841.67,1227.86,263.3
2028-09-01,1033.32,832.95,1228.75,263.25
2028-10-01,1040.65,835.7,1245.55,263.2
2028-11-01,1046.21,833.25,1255.98,263.15
2028-12-01,1046.91,825.8,1263.74,263.11
2029-01-01,1051.0,822.55,1286.28,263.06
2029-02-01,1054.86,818.09,1301.04,263.01
2029-03-01,1060.07,810.61,1310.4,262.96
2029-04-01,1065.23,806.88,1324.77,262.91
2029-05-01,1064.52,800.94,1332.67,262.87
2029-06-01,1068.31,790.3,1343.06,262.82
2029-07-01,1071.31,784.14,1358.27,262.77
2029-08-01,1077.91,779.35,1370.33,262.72
2029-09-01,1079.46,771.55,1379.68,262.67
2029-10-01,1086.89,769.41,1400.92,262.63
2029-11-01,1093.96,769.4,1426.33,262.58
2029-12-01,1096.32,757.22,1433.97,262.53
