ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,1167.46,1162.38,1172.25,310.55
2025-02-01,1166.89,1161.88,1172.04,311.12
2025-03-01,1168.65,1163.58,1173.85,311.64
2025-04-01,1167.62,1162.55,1172.77,312.21
2025-05-01,1168.22,1163.15,1173.45,312.76
2025-06-01,1172.0,1166.56,1177.51,313.33
2025-07-01,1174.92,1168.97,1180.41,313.89
2025-08-01,1177.57,1171.42,1183.47,314.46
2025-09-01,1179.3,1173.04,1185.93,315.03
2025-10-01,1185.41,1178.85,1192.22,315.58
2025-11-01,1185.55,1178.88,1193.1,316.15
2025-12-01,1188.58,1181.46,1195.77,316.71
2026-01-01,1196.21,1189.06,1203.79,317.28
2026-02-01,1196.99,1188.3,1207.41,317.85
2026-03-01,1195.33,1186.11,1207.86,318.37
2026-04-01,1198.81,1186.57,1215.73,318.94
2026-05-01,1201.53,1184.56,1226.23,319.49
2026-06-01,1200.96,1183.59,1232.27,320.06
2026-07-01,1204.35,1184.09,1238.58,320.62
2026-08-01,1208.94,1183.54,1248.19,321.19
2026-09-01,1210.54,1181.38,1255.78,321.76
2026-10-01,1216.43,1182.01,1267.91,322.31
2026-11-01,1217.05,1175.55,1277.1,322.88
2026-12-01,1222.71,1176.39,1288.54,323.44
2027-01-01,1228.01,1179.61,1298.32,324.01
2027-02-01,1230.27,1176.85,1308.01,324.58
2027-03-01,1225.18,1170.31,1307.11,325.1
2027-04-01,1233.5,1171.25,1321.36,325.67
2027-05-01,1238.38,1170.34,1332.34,326.22
2027-06-01,1233.32,1162.1,1335.98,326.79
2027-07-01,1237.37,1158.92,1347.22,327.35
2027-08-01,1244.07,1154.69,1361.12,327.92
2027-09-01,1245.59,1155.49,1373.79,328.49
2027-10-01,1251.35,1152.59,1385.83,329.04
2027-11-01,1252.58,1147.91,1394.69,329.61
2027-12-01,1261.03,1151.2,1412.48,330.17
2028-01-01,1263.96,1144.91,1421.66,330.74
2028-02-01,1267.85,1147.2,1437.08,331.31
2028-03-01,1272.21,1144.98,1445.93,331.84
2028-04-01,1267.48,1130.99,1443.87,332.42
2028-05-01,1266.86,1124.5,1455.4,332.97
2028-06-01,1276.55,1124.31,1474.95,333.54
2028-07-01,1280.43,1124.57,1486.72,334.09
2028-08-01,1282.45,1119.01,1498.1,334.66
2028-09-01,1285.63,1108.65,1512.1,335.24
2028-10-01,1293.73,1104.47,1523.71,335.79
2028-11-01,1294.68,1096.56,1534.62,336.36
2028-12-01,1296.49,1094.9,1549.63,336.91
2029-01-01,1308.5,1100.62,1577.68,337.49
2029-02-01,1309.17,1093.75,1584.14,338.06
2029-03-01,1312.42,1093.78,1603.61,338.57
2029-04-01,1312.67,1087.06,1618.36,339.15
2029-05-01,1314.74,1078.83,1631.67,339.7
2029-06-01,1320.28,1081.07,1647.13,340.27
2029-07-01,1324.94,1079.82,1666.68,340.82
2029-08-01,1329.35,1075.19,1674.78,341.39
2029-09-01,1332.79,1069.27,1689.87,341.97
2029-10-01,1341.04,1068.35,1715.66,342.52
2029-11-01,1342.86,1064.38,1723.09,343.09
2029-12-01,1347.86,1061.86,1739.15,343.64
