ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,1108.54,1102.93,1114.34,319.63
2025-02-01,1113.45,1107.9,1118.89,320.01
2025-03-01,1119.04,1113.39,1124.58,320.36
2025-04-01,1119.45,1113.61,1125.52,320.74
2025-05-01,1120.51,1114.65,1126.89,321.11
2025-06-01,1128.52,1122.54,1134.92,321.49
2025-07-01,1131.57,1125.08,1138.11,321.86
2025-08-01,1130.28,1124.32,1137.56,322.24
2025-09-01,1141.89,1135.45,1149.11,322.63
2025-10-01,1147.38,1140.57,1154.58,323.0
2025-11-01,1152.85,1145.26,1161.04,323.38
2025-12-01,1154.52,1147.57,1162.84,323.75
2026-01-01,1162.38,1154.46,1171.29,324.13
2026-02-01,1168.08,1159.11,1178.91,324.51
2026-03-01,1173.4,1162.63,1186.43,324.86
2026-04-01,1176.56,1162.44,1195.2,325.24
2026-05-01,1179.45,1159.7,1201.63,325.61
2026-06-01,1185.29,1160.9,1214.81,325.99
2026-07-01,1190.59,1161.79,1223.17,326.36
2026-08-01,1196.27,1161.16,1239.18,326.75
2026-09-01,1203.38,1160.94,1253.16,327.13
2026-10-01,1212.31,1167.08,1269.04,327.5
2026-11-01,1217.17,1167.45,1279.96,327.88
2026-12-01,1222.03,1167.78,1294.39,328.25
2027-01-01,1232.19,1174.85,1309.94,328.63
2027-02-01,1239.04,1173.47,1327.61,329.02
2027-03-01,1244.46,1175.25,1344.04,329.36
2027-04-01,1250.83,1173.55,1359.33,329.74
2027-05-01,1255.93,1169.12,1368.25,330.11
2027-06-01,1259.94,1163.04,1376.8,330.5
2027-07-01,1268.04,1161.26,1394.29,330.87
2027-08-01,1281.22,1171.84,1407.66,331.25
2027-09-01,1284.06,1166.4,1419.34,331.63
2027-10-01,1296.99,1170.4,1443.41,332.0
2027-11-01,1301.68,1178.43,1461.78,332.38
2027-12-01,1310.32,1179.07,1479.18,332.75
2028-01-01,1323.26,1177.46,1506.25,333.13
2028-02-01,1331.73,1170.33,1525.5,333.52
2028-03-01,1341.89,1164.35,1542.43,333.87
2028-04-01,1345.54,1155.28,1549.91,334.26
2028-05-01,1350.88,1154.0,1566.38,334.63
2028-06-01,1367.92,1157.8,1594.19,335.01
2028-07-01,1375.41,1150.3,1614.6,335.38
2028-08-01,1373.43,1144.57,1621.64,335.76
2028-09-01,1397.04,1152.62,1667.02,336.14
2028-10-01,1406.3,1157.16,1686.05,336.51
2028-11-01,1419.82,1158.68,1711.22,336.9
2028-12-01,1425.64,1157.63,1729.4,337.27
2029-01-01,1439.02,1160.84,1763.11,337.65
2029-02-01,1451.49,1155.11,1791.69,338.03
2029-03-01,1464.84,1159.24,1828.78,338.38
2029-04-01,1472.92,1158.72,1851.53,338.76
2029-05-01,1481.85,1152.94,1874.17,339.13
2029-06-01,1498.34,1157.35,1905.96,339.51
2029-07-01,1509.76,1151.46,1940.76,339.88
2029-08-01,1516.81,1144.71,1960.99,340.26
2029-09-01,1537.69,1148.07,2005.27,340.65
2029-10-01,1552.3,1142.42,2032.06,341.02
2029-11-01,1567.1,1141.24,2062.75,341.4
2029-12-01,1578.11,1131.88,2092.24,341.77
