ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,1043.42,1037.93,1048.82,279.76
2025-02-01,1042.92,1037.75,1048.43,279.45
2025-03-01,1050.12,1044.75,1055.34,279.16
2025-04-01,1046.81,1041.15,1052.5,278.85
2025-05-01,1047.89,1041.6,1053.38,278.55
2025-06-01,1050.91,1044.9,1057.31,278.23
2025-07-01,1048.96,1042.98,1055.18,277.93
2025-08-01,1049.0,1042.58,1055.75,277.62
2025-09-01,1051.0,1044.2,1057.2,277.3
2025-10-01,1050.97,1043.87,1058.29,277.0
2025-11-01,1053.16,1045.36,1060.41,276.69
2025-12-01,1051.8,1043.45,1059.95,276.38
2026-01-01,1054.87,1046.48,1065.38,276.07
2026-02-01,1055.75,1046.22,1065.95,275.76
2026-03-01,1059.6,1047.28,1074.45,275.47
2026-04-01,1057.26,1039.55,1075.96,275.16
2026-05-01,1061.92,1039.09,1084.35,274.86
2026-06-01,1063.22,1037.29,1091.71,274.54
2026-07-01,1063.43,1032.58,1096.4,274.24
2026-08-01,1063.95,1029.16,1100.57,273.93
2026-09-01,1066.75,1023.48,1108.09,273.62
2026-10-01,1067.39,1014.2,1111.93,273.31
2026-11-01,1067.06,1008.19,1116.1,273.0
2026-12-01,1069.35,1001.32,1124.72,272.7
2027-01-01,1074.39,1003.1,1136.45,272.38
2027-02-01,1076.72,993.09,1147.5,272.07
2027-03-01,1077.48,989.29,1155.92,271.79
2027-04-01,1076.36,975.27,1160.43,271.47
2027-05-01,1084.7,976.28,1175.34,271.17
2027-06-01,1084.51,966.28,1183.84,270.86
2027-07-01,1087.05,960.36,1192.73,270.55
2027-08-01,1088.22,948.51,1203.05,270.24
2027-09-01,1092.02,939.09,1212.74,269.93
2027-10-01,1093.49,929.21,1223.72,269.62
2027-11-01,1090.98,908.57,1234.34,269.31
2027-12-01,1097.12,903.97,1251.3,269.01
2028-01-01,1104.27,901.58,1269.16,268.69
2028-02-01,1108.19,894.95,1279.2,268.38
2028-03-01,1113.15,891.92,1298.5,268.09
2028-04-01,1112.24,877.99,1308.04,267.77
2028-05-01,1112.92,870.04,1323.32,267.47
2028-06-01,1120.67,864.26,1343.08,267.16
2028-07-01,1120.04,846.34,1349.53,266.85
2028-08-01,1122.96,833.5,1365.15,266.54
2028-09-01,1127.5,822.04,1385.16,266.23
2028-10-01,1130.31,798.75,1396.72,265.92
2028-11-01,1138.48,793.87,1417.36,265.61
2028-12-01,1137.39,779.76,1424.57,265.31
2029-01-01,1142.11,764.51,1437.37,264.99
2029-02-01,1145.28,765.01,1455.22,264.68
2029-03-01,1155.86,757.93,1475.76,264.4
2029-04-01,1156.54,741.9,1504.26,264.08
2029-05-01,1161.46,721.63,1516.02,263.78
2029-06-01,1168.3,712.29,1536.15,263.47
2029-07-01,1170.53,697.68,1550.98,263.16
2029-08-01,1174.72,683.14,1570.61,262.85
2029-09-01,1180.85,672.74,1596.94,262.54
2029-10-01,1185.17,664.54,1617.01,262.23
2029-11-01,1191.67,653.38,1642.62,261.92
2029-12-01,1194.92,637.54,1664.79,261.62
