ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,992.21,987.5,996.96,265.82
2025-02-01,996.28,991.54,1001.04,266.58
2025-03-01,999.64,994.84,1004.18,267.26
2025-04-01,1001.21,996.5,1006.24,268.02
2025-05-01,1001.38,996.57,1006.35,268.75
2025-06-01,1004.06,999.09,1009.11,269.51
2025-07-01,1007.18,1001.69,1012.31,270.24
2025-08-01,1008.87,1003.62,1014.46,271.0
2025-09-01,1013.26,1007.86,1018.99,271.76
2025-10-01,1016.94,1011.68,1022.49,272.49
2025-11-01,1020.54,1014.73,1026.65,273.25
2025-12-01,1019.47,1013.37,1026.01,273.98
2026-01-01,1027.16,1020.96,1033.88,274.74
2026-02-01,1033.69,1027.59,1040.21,275.5
2026-03-01,1032.84,1026.62,1040.24,276.18
2026-04-01,1036.69,1029.68,1045.07,276.94
2026-05-01,1038.69,1031.24,1047.33,277.67
2026-06-01,1040.46,1033.16,1050.98,278.43
2026-07-01,1045.3,1035.75,1055.96,279.17
2026-08-01,1043.75,1035.01,1056.73,279.92
2026-09-01,1050.42,1040.65,1064.82,280.68
2026-10-01,1053.61,1043.67,1067.33,281.41
2026-11-01,1058.46,1046.11,1077.6,282.17
2026-12-01,1057.97,1045.0,1076.74,282.91
2027-01-01,1065.08,1049.35,1084.95,283.66
2027-02-01,1074.26,1057.3,1096.2,284.42
2027-03-01,1069.02,1047.01,1094.55,285.11
2027-04-01,1075.45,1052.9,1103.06,285.86
2027-05-01,1079.44,1055.26,1109.42,286.6
2027-06-01,1080.3,1053.88,1111.16,287.35
2027-07-01,1087.01,1059.77,1120.8,288.09
2027-08-01,1082.11,1054.43,1118.01,288.84
2027-09-01,1091.32,1057.95,1131.99,289.6
2027-10-01,1094.08,1060.73,1134.19,290.34
2027-11-01,1100.36,1063.02,1144.75,291.09
2027-12-01,1100.57,1064.52,1147.28,291.83
2028-01-01,1107.15,1067.03,1155.99,292.58
2028-02-01,1119.2,1076.83,1171.27,293.34
2028-03-01,1120.36,1076.88,1175.38,294.05
2028-04-01,1120.6,1072.16,1178.5,294.81
2028-05-01,1119.68,1070.98,1182.51,295.54
2028-06-01,1124.54,1073.98,1188.77,296.3
2028-07-01,1127.14,1073.76,1194.6,297.03
2028-08-01,1133.46,1074.03,1204.82,297.79
2028-09-01,1137.06,1077.19,1209.51,298.55
2028-10-01,1142.79,1081.24,1218.34,299.28
2028-11-01,1146.6,1082.2,1230.38,300.04
2028-12-01,1145.86,1079.1,1231.81,300.77
2029-01-01,1156.34,1085.05,1244.44,301.53
2029-02-01,1162.05,1086.18,1253.81,302.29
2029-03-01,1167.03,1085.86,1264.99,302.97
2029-04-01,1169.99,1085.92,1270.05,303.73
2029-05-01,1171.41,1088.69,1276.28,304.46
2029-06-01,1175.71,1090.3,1286.97,305.22
2029-07-01,1180.56,1092.1,1295.5,305.96
2029-08-01,1183.83,1095.58,1300.22,306.71
2029-09-01,1190.21,1096.34,1312.55,307.47
2029-10-01,1195.82,1100.11,1322.4,308.2
2029-11-01,1201.39,1101.26,1330.35,308.96
2029-12-01,1201.73,1093.74,1331.74,309.7
