ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,705.9,699.97,711.82,318.15
2025-02-01,710.28,703.96,716.08,319.23
2025-03-01,712.81,706.77,718.41,320.21
2025-04-01,713.35,707.14,719.3,321.29
2025-05-01,716.2,710.04,722.67,322.33
2025-06-01,717.33,710.69,723.78,323.41
2025-07-01,718.46,712.47,725.12,324.46
2025-08-01,715.79,708.99,722.38,325.54
2025-09-01,727.25,720.19,733.94,326.62
2025-10-01,730.97,724.28,737.76,327.67
2025-11-01,731.29,724.48,738.34,328.75
2025-12-01,732.57,725.13,739.96,329.79
2026-01-01,739.18,730.51,746.66,330.87
2026-02-01,745.68,737.07,752.97,331.95
2026-03-01,744.83,735.49,752.13,332.93
2026-04-01,745.92,735.29,754.3,334.01
2026-05-01,750.13,739.72,759.68,335.06
2026-06-01,751.53,740.61,760.53,336.14
2026-07-01,751.16,737.97,762.34,337.18
2026-08-01,753.96,737.24,767.89,338.26
2026-09-01,759.34,741.5,773.77,339.34
2026-10-01,763.8,743.15,779.68,340.39
2026-11-01,765.8,744.6,783.96,341.47
2026-12-01,767.78,743.04,785.91,342.52
2027-01-01,774.21,746.54,795.4,343.6
2027-02-01,782.97,752.07,807.01,344.68
2027-03-01,778.46,744.32,807.3,345.65
2027-04-01,780.24,741.86,811.8,346.73
2027-05-01,785.92,745.06,817.38,347.78
2027-06-01,787.62,744.66,821.41,348.86
2027-07-01,785.71,742.74,825.49,349.9
2027-08-01,794.36,747.49,833.95,350.98
2027-09-01,793.12,742.47,836.44,352.07
2027-10-01,798.49,743.84,844.16,353.11
2027-11-01,802.36,745.75,849.22,354.19
2027-12-01,805.09,745.21,852.2,355.24
2028-01-01,811.32,746.16,863.69,356.32
2028-02-01,822.47,751.86,877.5,357.4
2028-03-01,820.71,748.74,876.98,358.41
2028-04-01,820.98,746.97,882.18,359.49
2028-05-01,823.06,744.24,881.73,360.53
2028-06-01,824.27,737.63,888.91,361.62
2028-07-01,827.47,740.3,891.61,362.66
2028-08-01,818.64,730.16,888.77,363.74
2028-09-01,838.65,742.26,914.49,364.82
2028-10-01,842.54,742.71,917.67,365.87
2028-11-01,841.38,739.07,925.11,366.95
2028-12-01,842.37,739.99,927.31,367.99
2029-01-01,850.5,741.42,941.0,369.07
2029-02-01,855.84,743.87,950.89,370.15
2029-03-01,859.09,739.28,956.03,371.13
2029-04-01,859.99,737.07,964.48,372.21
2029-05-01,863.6,737.28,973.48,373.26
2029-06-01,865.23,735.38,978.49,374.34
2029-07-01,866.86,734.22,981.5,375.38
2029-08-01,864.11,727.92,980.38,376.46
2029-09-01,877.7,735.17,995.98,377.54
2029-10-01,882.36,734.79,1008.0,378.59
2029-11-01,883.09,735.44,1010.74,379.67
2029-12-01,884.95,732.05,1018.14,380.72
