ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,724.35,719.22,729.41,310.55
2025-02-01,722.62,717.58,728.07,311.12
2025-03-01,723.27,718.08,728.44,311.64
2025-04-01,721.06,716.11,726.27,312.21
2025-05-01,720.48,715.34,726.11,312.76
2025-06-01,723.04,717.82,729.03,313.33
2025-07-01,724.75,719.23,730.59,313.89
2025-08-01,726.15,721.13,732.33,314.46
2025-09-01,726.62,720.31,732.91,315.03
2025-10-01,731.47,726.06,738.44,315.58
2025-11-01,730.32,724.17,738.4,316.15
2025-12-01,732.07,725.82,741.43,316.71
2026-01-01,738.37,732.22,749.17,317.28
2026-02-01,737.8,730.8,752.48,317.85
2026-03-01,734.85,727.98,751.72,318.37
2026-04-01,736.96,729.35,754.94,318.94
2026-05-01,738.3,730.62,757.45,319.49
2026-06-01,736.3,727.47,759.01,320.06
2026-07-01,738.28,727.57,762.66,320.62
2026-08-01,741.41,728.31,770.27,321.19
2026-09-01,741.52,725.25,771.75,321.76
2026-10-01,745.93,727.0,779.17,322.31
2026-11-01,745.02,725.75,781.91,322.88
2026-12-01,749.16,724.56,789.41,323.44
2027-01-01,752.88,726.25,800.42,324.01
2027-02-01,753.53,723.24,801.59,324.58
2027-03-01,746.91,716.73,798.57,325.1
2027-04-01,753.57,717.2,809.4,325.67
2027-05-01,756.8,714.22,813.86,326.22
2027-06-01,750.04,704.04,814.02,326.79
2027-07-01,752.38,705.11,821.0,327.35
2027-08-01,757.32,704.35,826.22,327.92
2027-09-01,757.05,703.92,829.45,328.49
2027-10-01,761.01,700.69,836.99,329.04
2027-11-01,760.38,693.98,842.88,329.61
2027-12-01,766.97,696.04,855.05,330.17
2028-01-01,767.99,693.8,861.16,330.74
2028-02-01,769.92,690.09,871.11,331.31
2028-03-01,772.36,684.21,878.13,331.84
2028-04-01,765.6,672.01,875.07,332.42
2028-05-01,762.95,667.11,880.22,332.97
2028-06-01,770.54,667.68,891.25,333.54
2028-07-01,772.32,661.9,899.61,334.09
2028-08-01,772.16,659.62,905.88,334.66
2028-09-01,773.13,655.4,908.09,335.24
2028-10-01,779.0,659.12,922.12,335.79
2028-11-01,777.65,654.12,922.14,336.36
2028-12-01,777.15,647.83,925.21,336.91
2029-01-01,786.77,650.18,942.95,337.49
2029-02-01,785.01,645.07,944.93,338.06
2029-03-01,785.86,638.74,951.0,338.57
2029-04-01,783.58,636.07,952.05,339.15
2029-05-01,783.1,626.84,954.4,339.7
2029-06-01,786.01,618.9,964.22,340.27
2029-07-01,788.02,613.44,973.47,340.82
2029-08-01,789.68,612.85,979.33,341.39
2029-09-01,790.34,611.56,982.37,341.97
2029-10-01,795.76,608.91,994.35,342.52
2029-11-01,794.67,601.95,999.04,343.09
2029-12-01,796.74,603.96,1004.96,343.64
