ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,732.08,726.8,737.51,319.63
2025-02-01,734.74,728.87,740.51,320.01
2025-03-01,738.06,732.34,743.97,320.36
2025-04-01,736.1,730.34,741.9,320.74
2025-05-01,734.72,728.74,740.75,321.11
2025-06-01,740.22,734.15,746.44,321.49
2025-07-01,740.69,734.39,747.3,321.86
2025-08-01,736.74,730.61,743.05,322.24
2025-09-01,745.61,739.28,752.81,322.63
2025-10-01,748.3,741.53,755.92,323.0
2025-11-01,750.87,744.17,758.44,323.38
2025-12-01,749.58,742.08,757.75,323.75
2026-01-01,754.37,746.04,762.01,324.13
2026-02-01,756.92,747.19,765.26,324.51
2026-03-01,759.05,749.55,770.54,324.86
2026-04-01,758.88,747.82,773.3,325.24
2026-05-01,758.35,745.48,774.37,325.61
2026-06-01,760.67,745.32,779.6,325.99
2026-07-01,762.36,744.18,786.21,326.36
2026-08-01,764.31,743.88,791.79,326.75
2026-09-01,767.59,742.16,798.79,327.13
2026-10-01,772.6,745.22,805.38,327.5
2026-11-01,773.41,741.68,809.42,327.88
2026-12-01,774.13,738.66,816.78,328.25
2027-01-01,780.01,742.59,830.55,328.63
2027-02-01,782.46,736.91,836.1,329.02
2027-03-01,783.41,734.22,842.25,329.36
2027-04-01,785.13,735.87,846.61,329.74
2027-05-01,785.47,732.25,853.02,330.11
2027-06-01,784.57,726.77,857.52,330.5
2027-07-01,787.64,727.28,862.77,330.87
2027-08-01,795.64,732.53,876.58,331.25
2027-09-01,793.15,721.79,879.04,331.63
2027-10-01,800.61,724.44,893.79,332.0
2027-11-01,799.67,721.45,896.47,332.38
2027-12-01,802.54,718.81,910.47,332.75
2028-01-01,809.54,723.36,923.82,333.13
2028-02-01,811.9,718.13,928.42,333.52
2028-03-01,815.82,720.88,939.04,333.87
2028-04-01,813.02,714.02,939.66,334.26
2028-05-01,811.75,709.67,946.19,334.63
2028-06-01,821.98,710.51,963.67,335.01
2028-07-01,822.49,707.75,973.03,335.38
2028-08-01,813.33,696.5,965.65,335.76
2028-09-01,829.56,707.76,993.6,336.14
2028-10-01,831.25,703.72,1000.2,336.51
2028-11-01,836.99,703.12,1013.98,336.9
2028-12-01,834.82,690.87,1019.19,337.27
2029-01-01,839.98,692.53,1030.17,337.65
2029-02-01,844.01,688.35,1039.43,338.03
2029-03-01,848.75,683.84,1050.44,338.38
2029-04-01,847.93,677.31,1051.19,338.76
2029-05-01,847.74,668.98,1056.52,339.13
2029-06-01,854.83,671.17,1074.18,339.51
2029-07-01,856.63,664.7,1080.54,339.88
2029-08-01,853.77,653.35,1079.5,340.26
2029-09-01,864.47,654.74,1104.22,340.65
2029-10-01,868.66,650.4,1116.43,341.02
2029-11-01,872.73,645.54,1133.49,341.4
2029-12-01,872.76,636.17,1134.59,341.77
