ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,665.74,660.18,670.93,279.76
2025-02-01,664.54,659.06,669.7,279.45
2025-03-01,670.99,665.59,676.58,279.16
2025-04-01,666.93,660.92,672.81,278.85
2025-05-01,667.2,661.1,673.42,278.55
2025-06-01,669.4,663.04,675.55,278.23
2025-07-01,666.57,660.64,673.24,277.93
2025-08-01,665.7,658.87,673.07,277.62
2025-09-01,666.76,660.1,674.24,277.3
2025-10-01,665.73,658.57,674.22,277.0
2025-11-01,666.89,659.7,677.06,276.69
2025-12-01,664.45,655.75,676.3,276.38
2026-01-01,666.41,657.9,680.11,276.07
2026-02-01,666.13,656.78,686.01,275.76
2026-03-01,668.73,655.01,693.16,275.47
2026-04-01,665.14,648.51,693.23,275.16
2026-05-01,668.49,648.96,699.99,274.86
2026-06-01,668.44,645.76,701.12,274.54
2026-07-01,667.24,638.24,703.39,274.24
2026-08-01,666.3,633.88,709.19,273.93
2026-09-01,667.6,628.01,717.62,273.62
2026-10-01,666.66,624.05,719.79,273.31
2026-11-01,664.72,615.25,728.28,273.0
2026-12-01,665.32,609.06,733.02,272.7
2027-01-01,668.63,604.29,739.58,272.38
2027-02-01,669.17,602.31,744.66,272.07
2027-03-01,668.04,596.86,746.51,271.79
2027-04-01,665.0,592.3,753.72,271.47
2027-05-01,671.35,590.55,760.93,271.17
2027-06-01,669.12,581.26,766.92,270.86
2027-07-01,669.53,575.38,773.01,270.55
2027-08-01,668.52,571.26,775.62,270.24
2027-09-01,670.07,563.02,786.36,269.93
2027-10-01,669.2,564.1,789.13,269.62
2027-11-01,664.3,550.02,791.95,269.31
2027-12-01,667.95,553.16,800.09,269.01
2028-01-01,672.55,548.89,816.58,268.69
2028-02-01,673.85,542.91,823.18,268.38
2028-03-01,676.06,541.27,835.6,268.09
2028-04-01,672.37,535.74,835.91,267.77
2028-05-01,670.15,529.68,832.32,267.47
2028-06-01,674.94,526.22,844.36,267.16
2028-07-01,671.25,517.39,852.6,266.85
2028-08-01,671.03,513.79,860.2,266.54
2028-09-01,672.33,506.41,868.12,266.23
2028-10-01,671.8,494.81,878.84,265.92
2028-11-01,676.54,484.49,891.99,265.61
2028-12-01,671.91,477.25,892.7,265.31
2029-01-01,673.01,469.17,901.31,264.99
2029-02-01,672.45,463.64,903.73,264.68
2029-03-01,679.14,457.2,921.1,264.4
2029-04-01,675.87,447.91,925.83,264.08
2029-05-01,676.71,438.91,934.88,263.78
2029-06-01,679.39,430.41,939.83,263.47
2029-07-01,677.31,425.27,943.42,263.16
2029-08-01,677.09,415.39,959.01,262.85
2029-09-01,678.7,403.86,966.14,262.54
2029-10-01,678.34,396.76,977.67,262.23
2029-11-01,680.06,383.42,988.11,261.92
2029-12-01,678.38,375.27,986.37,261.62
