ds,yhat,yhat_lower,yhat_upper,trend
2025-01-01,545.43,540.93,550.03,265.82
2025-02-01,547.89,543.54,552.87,266.58
2025-03-01,549.76,545.03,554.8,267.26
2025-04-01,549.7,545.05,554.38,268.02
2025-05-01,548.26,543.57,552.7,268.75
2025-06-01,549.28,544.38,554.08,269.51
2025-07-01,550.76,545.99,555.38,270.24
2025-08-01,550.76,545.89,555.56,271.0
2025-09-01,553.45,548.46,558.75,271.76
2025-10-01,555.45,550.32,560.48,272.49
2025-11-01,557.31,551.69,562.7,273.25
2025-12-01,554.53,549.19,559.92,273.98
2026-01-01,560.45,555.52,566.04,274.74
2026-02-01,565.19,559.36,570.68,275.5
2026-03-01,562.65,556.86,568.64,276.18
2026-04-01,564.68,558.71,570.93,276.94
2026-05-01,564.86,558.73,571.34,277.67
2026-06-01,564.77,557.61,571.76,278.43
2026-07-01,567.76,560.75,574.74,279.17
2026-08-01,564.3,556.76,571.54,279.92
2026-09-01,569.04,561.6,576.46,280.68
2026-10-01,570.32,561.31,578.35,281.41
2026-11-01,573.19,563.18,582.15,282.17
2026-12-01,570.75,559.71,579.97,282.91
2027-01-01,575.83,564.91,586.39,283.66
2027-02-01,582.96,570.13,593.98,284.42
2027-03-01,575.77,561.92,587.08,285.11
2027-04-01,580.09,566.27,592.71,285.86
2027-05-01,582.0,565.22,595.64,286.6
2027-06-01,580.7,563.01,595.42,287.35
2027-07-01,585.27,565.88,600.28,288.09
2027-08-01,578.15,559.2,594.56,288.84
2027-09-01,585.11,562.4,603.46,289.6
2027-10-01,585.64,562.14,603.43,290.34
2027-11-01,589.61,565.64,610.34,291.09
2027-12-01,587.52,561.41,608.75,291.83
2028-01-01,591.72,563.91,615.24,292.58
2028-02-01,601.36,571.97,628.11,293.34
2028-03-01,600.16,569.16,630.64,294.05
2028-04-01,597.91,564.66,628.79,294.81
2028-05-01,594.51,557.2,624.18,295.54
2028-06-01,596.81,559.38,627.76,296.3
2028-07-01,596.84,557.05,631.67,297.03
2028-08-01,600.53,558.09,636.41,297.79
2028-09-01,601.43,559.39,638.1,298.55
2028-10-01,604.48,560.42,641.75,299.28
2028-11-01,605.52,559.71,644.52,300.04
2028-12-01,602.0,553.0,642.81,300.77
2029-01-01,609.61,559.84,654.12,301.53
2029-02-01,612.41,558.52,658.28,302.29
2029-03-01,614.56,560.69,661.23,302.97
2029-04-01,614.5,558.17,663.87,303.73
2029-05-01,612.9,555.83,663.23,304.46
2029-06-01,614.07,553.39,665.24,305.22
2029-07-01,615.79,552.57,670.14,305.96
2029-08-01,615.83,553.25,672.61,306.71
2029-09-01,618.91,553.03,675.47,307.47
2029-10-01,621.22,552.61,679.85,308.2
2029-11-01,623.37,553.13,683.98,308.96
2029-12-01,620.28,547.3,681.83,309.7
